Unidade,Curso,Modalidade,Classificação na carreira,Nota na 1° fase,"Nota na 2° fase, 1° dia","Nota na 2° fase, 2° dia",Nota da redação,Qual o seu ano de ingresso?,Nota final,Envie aqui o espelho da sua redação,Chamada,Classificação no curso de ingresso,Forma de ingresso,Ciências da Natureza,Matemática,Linguagens,Ciências Humanas,Redação,Nota na Competência 1,Nota na Competência 2,Nota na Competência 3,Nota na Competência 4,Nota na Competência 5,Nota final.1,Envie aqui o espelho da sua redação.1
ESALQ,Administração,Ampla Concorrência (AC),3,60,81,43.33,44.5,2020,636.6555556,,,,Fuvest,,,,,,,,,,,,
FEARP,Administração,Escola Pública (EP),6,46,59.5,35.83,37.5,2020,488.137037,,,,Fuvest,,,,,,,,,,,,
FEARP,Administração,Ampla Concorrência (AC),64,60,51.5,40.83,31.5,2020,529.9888889,,,,Fuvest,,,,,,,,,,,,
FEARP,Administração,Ampla Concorrência (AC),50,59,67,32.5,39.5,2020,550.1851852,,,,Fuvest,,,,,,,,,,,,
FEARP,Administração,Ampla Concorrência (AC),42,65,48.5,45.83,28,2020,555.1740741,,,,Fuvest,,,,,,,,,,,,
FEARP,Administração,Ampla Concorrência (AC),30,57,71.5,35,39.5,2020,566.1111111,,,,Fuvest,,,,,,,,,,,,
FEARP,Administração,Ampla Concorrência (AC),28,62,64.5,37.5,33,2020,569.6296296,,,,Fuvest,,,,,,,,,,,,
FEARP,Administração,Ampla Concorrência (AC),15,65,64,44,38,2020,600.7407407,,,,Fuvest,,,,,,,,,,,,
FEARP,Administração,Ampla Concorrência (AC),21,60,58.5,58.5,33,2020,612.2222222,,,,Fuvest,,,,,,,,,,,,
FEA,Administração Diurno,Ampla Concorrência (AC),135,65,72.5,40,39.5,2020,616,,,,Fuvest,,,,,,,,,,,,
FEA,Administração Diurno,Ampla Concorrência (AC),150,76,69,44043,36,2020,617,,,,Fuvest,,,,,,,,,,,,
FEA,Administração Diurno,Ampla Concorrência (AC),186,59,71.5,55,50,2019,641,,,,Fuvest,,,,,,,,,,,,
FEA,Administração Diurno,Ampla Concorrência (AC),176,58,69.8,60,42,2019,646,,,,Fuvest,,,,,,,,,,,,
FEA,Administração Diurno,Ampla Concorrência (AC),143,70,56.5,69.17,25,2019,678.15,,,,Fuvest,,,,,,,,,,,,
FEA,Administração Diurno,Ampla Concorrência (AC),139,64,70.5,70.83,7,2019,708.15,,,,Fuvest,,,,,,,,,,,,
FEA,Administração Diurno,Ampla Concorrência (AC),113,69,77.5,63.33,42,2019,725,,,,Fuvest,,,,,,,,,,,,
FEA,Administração Diurno,"Pretos, Pardos e Indígenas (PPI)",15,41,53,44.17,28,2020,475.74,,,,Fuvest,,,,,,,,,,,,
FEA,Administração Diurno,Escola Pública (EP),77,49,60.5,34.17,32,2020,497.04,,,,Fuvest,,,,,,,,,,,,
FEA,Administração Diurno,Escola Pública (EP),21,57,56.5,49.17,29.5,2020,563.33,,,,Fuvest,,,,,,,,,,,,
FEA,Administração Diurno,Escola Pública (EP),16,64,61,38.33,33.5,2020,568.15,,,,Fuvest,,,,,,,,,,,,
FEA,Administração Diurno,Escola Pública (EP),13,50,68.5,48.33,34,2020,574.63,,,,Fuvest,,,,,,,,,,,,
FEA,Administração Diurno,Escola Pública (EP),12,57,67,44.17,43,2020,581.67,,,,Fuvest,,,,,,,,,,,,
FEA,Administração Diurno,Ampla Concorrência (AC),197,60,65,50,48,2020,605.56,,,,Fuvest,,,,,,,,,,,,
FEA,Administração Diurno,Ampla Concorrência (AC),153,69,55.5,52.5,26.5,2020,615.56,,,,Fuvest,,,,,,,,,,,,
FEA,Administração Diurno,Ampla Concorrência (AC),112,55,73,51.67,38,2019,619.26,,,,Fuvest,,,,,,,,,,,,
FEA,Administração Diurno,Ampla Concorrência (AC),138,66,65.5,47.5,40,2020,621.11,,,,Fuvest,,,,,,,,,,,,
FEA,Administração Diurno,Ampla Concorrência (AC),110,50,75,55.83,37,2019,621.3,,,,Fuvest,,,,,,,,,,,,
FEA,Administração Diurno,Ampla Concorrência (AC),178,68,65.5,45.83,37.5,2020,622.96,,,,Fuvest,,,,,,,,,,,,
FEA,Administração Diurno,Ampla Concorrência (AC),129,61,72.17,47.5,39.67,2020,624.81,,,,Fuvest,,,,,,,,,,,,
FEA,Administração Diurno,Ampla Concorrência (AC),120,68,68,45,39.5,2020,628.52,,,,Fuvest,,,,,,,,,,,,
FEA,Administração Diurno,Ampla Concorrência (AC),57,53,70,60,35,2019,629.63,,,,Fuvest,,,,,,,,,,,,
FEA,Administração Diurno,Ampla Concorrência (AC),114,68,62,51.67,32,2020,630.74,,,,Fuvest,,,,,,,,,,,,
FEA,Administração Diurno,Ampla Concorrência (AC),111,70,58.5,53.33,28,2020,632.04,,,,Fuvest,,,,,,,,,,,,
FEA,Administração Diurno,Ampla Concorrência (AC),108,71,68.5,42.5,38,2020,632.96,,,,Fuvest,,,,,,,,,,,,
FEA,Administração Diurno,Ampla Concorrência (AC),103,66,62.5,54.17,35,2020,633.33,,,,Fuvest,,,,,,,,,,,,
FEA,Administração Diurno,Ampla Concorrência (AC),97,68,72,43.33,43,2020,636.3,,,,Fuvest,,,,,,,,,,,,
FEA,Administração Diurno,Ampla Concorrência (AC),51,58,74.5,55,41.5,2019,646.48,,,,Fuvest,,,,,,,,,,,,
FEA,Administração Diurno,Ampla Concorrência (AC),36,66,67.5,53.33,31.5,2019,647.22,,,,Fuvest,,,,,,,,,,,,
FEA,Administração Diurno,Ampla Concorrência (AC),65,71,68,50.83,35,2020,652.41,,,,Fuvest,,,,,,,,,,,,
FEA,Administração Diurno,Ampla Concorrência (AC),57,69,66,54.17,36.5,2020,656.11,,,,Fuvest,,,,,,,,,,,,
FEA,Administração Diurno,Ampla Concorrência (AC),31,58,77,55.83,40,2019,657.59,,,,Fuvest,,,,,,,,,,,,
FEA,Administração Diurno,Ampla Concorrência (AC),50,65,75.5,50,43,2020,659.07,,,,Fuvest,,,,,,,,,,,,
FEA,Administração Diurno,Ampla Concorrência (AC),41,74,66,51.67,33,2020,666.3,,,,Fuvest,,,,,,,,,,,,
FEA,Administração Diurno,Ampla Concorrência (AC),15,59,81.5,58.33,44.5,2019,684.63,,,,Fuvest,,,,,,,,,,,,
FEA,Administração Diurno,Ampla Concorrência (AC),25,74,67,56.67,35,2020,686.3,,,,Fuvest,,,,,,,,,,,,
FEA,Administração Diurno,Ampla Concorrência (AC),9,71,79,59.17,46.5,2020,723.52,,,,Fuvest,,,,,,,,,,,,
FEA,Administração Noturno,Escola Pública (EP),12,68,52,45,27,2020,575,,,,Fuvest,,,,,,,,,,,,
FEA,Administração Noturno,Ampla Concorrência (AC),153,66,67,43.4,89,2020,612,,,,Fuvest,,,,,,,,,,,,
FEA,Administração Noturno,Ampla Concorrência (AC),6,63,66,50,39,2020,616,,,,Fuvest,,,,,,,,,,,,
FEA,Administração Noturno,"Pretos, Pardos e Indígenas (PPI)",2,41,59,28.33,33,2020,442.96,,,,Fuvest,,,,,,,,,,,,
FEA,Administração Noturno,"Pretos, Pardos e Indígenas (PPI)",21,50,51.5,32.5,33,2020,465.19,,,,Fuvest,,,,,,,,,,,,
FEA,Administração Noturno,Escola Pública (EP),55,51,54.5,37.5,26.5,2020,495.56,,,,Fuvest,,,,,,,,,,,,
FEA,Administração Noturno,Escola Pública (EP),44,50,63,37.5,41,2020,520.19,,,,Fuvest,,,,,,,,,,,,
FEA,Administração Noturno,Escola Pública (EP),34,55,66.5,33.3,40,2020,536.48,,,,Fuvest,,,,,,,,,,,,
FEA,Administração Noturno,Escola Pública (EP),26,59,92,42.5,34.5,2020,551.85,,,,Fuvest,,,,,,,,,,,,
FEA,Administração Noturno,Ampla Concorrência (AC),227,70,59,40.83,36,2020,592.04,,,,Fuvest,,,,,,,,,,,,
FEA,Administração Noturno,Ampla Concorrência (AC),217,61,59.6,59.6,33,2020,593.7,,,,Fuvest,,,,,,,,,,,,
FEA,Administração Noturno,Ampla Concorrência (AC),215,60,60,51.97,28.5,2020,594.44,,,,Fuvest,,,,,,,,,,,,
FEA,Administração Noturno,Ampla Concorrência (AC),192,62,65.5,45.83,33,2020,600.74,,,,Fuvest,,,,,,,,,,,,
FEA,Administração Noturno,Escola Pública (EP),3,55,72.5,47.5,45,2020,603.7,,,,Fuvest,,,,,,,,,,,,
FEA,Administração Noturno,Ampla Concorrência (AC),219,59,60,55.83,28.5,2019,604.63,,,,Fuvest,,,,,,,,,,,,
FEA,Administração Noturno,Ampla Concorrência (AC),215,59,72.67,43.33,39.67,2019,605.19,,,,Fuvest,,,,,,,,,,,,
FEA,Administração Noturno,Ampla Concorrência (AC),172,56,76.5,43.33,41,2020,606.85,,,,Fuvest,,,,,,,,,,,,
FEA,Administração Noturno,Ampla Concorrência (AC),171,57,68,50.83,32,2020,607.22,,,,Fuvest,,,,,,,,,,,,
FEA,Administração Noturno,Ampla Concorrência (AC),170,62,62.5,50.83,34,2020,607.41,,,,Fuvest,,,,,,,,,,,,
FEA,Administração Noturno,Ampla Concorrência (AC),207,58,66.5,51.67,33,2019,608.7,,,,Fuvest,,,,,,,,,,,,
FEA,Administração Noturno,Ampla Concorrência (AC),163,71,60,44.17,38.5,2020,610.19,,,,Fuvest,,,,,,,,,,,,
FEA,Administração Noturno,Ampla Concorrência (AC),,67,55.5,53.33,36.5,2020,610.93,,,,Fuvest,,,,,,,,,,,,
FEA,Administração Noturno,Ampla Concorrência (AC),195,56,78,43.33,41.5,2019,611.85,,,,Fuvest,,,,,,,,,,,,
FEA,Administração Noturno,Ampla Concorrência (AC),147,65,61,50.83,43979,2020,613.52,,,,Fuvest,,,,,,,,,,,,
FEA,Administração Noturno,Ampla Concorrência (AC),,69,56,51.67,32,2020,614.44,,,,Fuvest,,,,,,,,,,,,
FEA,Administração Noturno,Ampla Concorrência (AC),179,65,59.5,53.33,33,2019,616.85,,,,Fuvest,,,,,,,,,,,,
FEA,Administração Noturno,Ampla Concorrência (AC),178,65,63,50,33,2019,617.41,,,,Fuvest,,,,,,,,,,,,
FEA,Administração Noturno,Ampla Concorrência (AC),127,64,76,38,41.5,2020,618.5,,,,Fuvest,,,,,,,,,,,,
FEA,Administração Noturno,Ampla Concorrência (AC),,67,66.5,45,33.5,2019,619.81,,,,Fuvest,,,,,,,,,,,,
FEA,Administração Noturno,Ampla Concorrência (AC),161,57,66.5,56.57,34.5,2019,621.67,,,,Fuvest,,,,,,,,,,,,
FEA,Administração Noturno,Ampla Concorrência (AC),119,60,69,50.83,41.5,2020,621.67,,,,Fuvest,,,,,,,,,,,,
FEA,Administração Noturno,Ampla Concorrência (AC),114,70,65,44.17,34.5,2020,623.15,,,,Fuvest,,,,,,,,,,,,
FEA,Administração Noturno,Ampla Concorrência (AC),,59,64.5,57.5,33,2019,625.19,,,,Fuvest,,,,,,,,,,,,
FEA,Administração Noturno,Ampla Concorrência (AC),146,64,65,52.5,36,2019,628.7,,,,Fuvest,,,,,,,,,,,,
FEA,Administração Noturno,Ampla Concorrência (AC),94,68,64.5,50,34.5,2020,633.52,,,,Fuvest,,,,,,,,,,,,
FEA,Administração Noturno,Ampla Concorrência (AC),21,69,70.5,58.33,38,2020,685.5,,,,Fuvest,,,,,,,,,,,,
FEA,Administração Noturno,Ampla Concorrência (AC),29,70,72,60,35,2019,699.26,,,,Fuvest,,,,,,,,,,,,
FEA,Administração Noturno,Ampla Concorrência (AC),16,72,79.5,56.67,41,2019,720.56,,,,Fuvest,,,,,,,,,,,,
FAU,Arquitetura e Urbanismo,"Pretos, Pardos e Indígenas (PPI)",2,57,52,46.67,28,2020,540,,,,Fuvest,,,,,,,,,,,,
FAU,Arquitetura e Urbanismo,Escola Pública (EP),27,53,61.5,44.17,30,2020,548.5296296,,,,Fuvest,,,,,,,,,,,,
FAU,Arquitetura e Urbanismo,Escola Pública (EP),22,57,58.5,48.33,36.5,2020,567.2111111,,,,Fuvest,,,,,,,,,,,,
FAU,Arquitetura e Urbanismo,Escola Pública (EP),18,53,65.5,48.33,35,2020,575.7296296,,,,Fuvest,,,,,,,,,,,,
FAU,Arquitetura e Urbanismo,Escola Pública (EP),13,61,63,45,36.5,2020,585.9259259,,,,Fuvest,,,,,,,,,,,,
FAU,Arquitetura e Urbanismo,Escola Pública (EP),9,57,64,53.33,39,2020,602.2111111,,,,Fuvest,,,,,,,,,,,,
FAU,Arquitetura e Urbanismo,Escola Pública (EP),16,54,64,64,36.6,2020,626.6666667,,,,Fuvest,,,,,,,,,,,,
FAU,Arquitetura e Urbanismo,Ampla Concorrência (AC),68,68,73,44,39,2019,641.8518519,,,,Fuvest,,,,,,,,,,,,
FAU,Arquitetura e Urbanismo,Ampla Concorrência (AC),63,52,86.5,51.67,45,2020,653.1592593,,,,Fuvest,,,,,,,,,,,,
FAU,Arquitetura e Urbanismo,Ampla Concorrência (AC),65,64,74.5,54.17,40,2020,665.937037,,,,Fuvest,,,,,,,,,,,,
FAU,Arquitetura e Urbanismo,Ampla Concorrência (AC),50,64,77,51.67,40,2020,665.937037,,,,Fuvest,,,,,,,,,,,,
FAU,Arquitetura e Urbanismo,Ampla Concorrência (AC),64,72,64,56.67,30,2020,668.9,,,,Fuvest,,,,,,,,,,,,
FAU,Arquitetura e Urbanismo,Ampla Concorrência (AC),62,67,64,62.5,36,2020,669.8148148,,,,Fuvest,,,,,,,,,,,,
FAU,Arquitetura e Urbanismo,Ampla Concorrência (AC),49,61,79,54.17,45,2020,669.8259259,,,,Fuvest,,,,,,,,,,,,
FAU,Arquitetura e Urbanismo,Ampla Concorrência (AC),58,63,68,64.17,38,2020,673.9,,,,Fuvest,,,,,,,,,,,,
FAU,Arquitetura e Urbanismo,Ampla Concorrência (AC),47,64,79.5,53.33,50,2020,679.8037037,,,,Fuvest,,,,,,,,,,,,
FAU,Arquitetura e Urbanismo,Ampla Concorrência (AC),29,69,75.5,52.5,38,2020,682.2222222,,,,Fuvest,,,,,,,,,,,,
FAU,Arquitetura e Urbanismo,Ampla Concorrência (AC),41,66,63.5,68.33,34.5,2020,683.8777778,,,,Fuvest,,,,,,,,,,,,
FAU,Arquitetura e Urbanismo,Ampla Concorrência (AC),40,58,77.5,63.33,41,2020,684.2481481,,,,Fuvest,,,,,,,,,,,,
FAU,Arquitetura e Urbanismo,Ampla Concorrência (AC),26,69,80,49,46.5,2019,685.5555556,,,,Fuvest,,,,,,,,,,,,
FAU,Arquitetura e Urbanismo,Ampla Concorrência (AC),35,68,74.5,56.67,43.5,2020,689.0851852,,,,Fuvest,,,,,,,,,,,,
FAU,Arquitetura e Urbanismo,Ampla Concorrência (AC),27,76,69.25,54.17,33,2020,692.8814815,,,,Fuvest,,,,,,,,,,,,
FAU,Arquitetura e Urbanismo,Ampla Concorrência (AC),31,67,74.5,59.17,41.5,2020,693.7148148,,,,Fuvest,,,,,,,,,,,,
FAU,Arquitetura e Urbanismo,Ampla Concorrência (AC),20,61,81.5,59.17,39.5,2019,694.8259259,,,,Fuvest,,,,,,,,,,,,
FAU,Arquitetura e Urbanismo,Ampla Concorrência (AC),17,72,69,69.33,34.5,2020,707.78,,,,Fuvest,,,,,,,,,,,,
FAU,Arquitetura e Urbanismo,Ampla Concorrência (AC),8,75,76.2,63.3,40.7,2020,742.78,,,,Fuvest,,,,,,,,,,,,
FAU,Arquitetura e Urbanismo,Ampla Concorrência (AC),,90,62,63.33,36.5,2020,751.1,,,,Fuvest,,,,,,,,,,,,
FAU,Arquitetura e Urbanismo,Ampla Concorrência (AC),3,71,80,69.2,43.1,2020,760.19,,,,Fuvest,,,,,,,,,,,,
