Unidade,Curso,Modalidade,Classificação na carreira,Nota na 1° fase,"Nota na 2° fase, 1° dia","Nota na 2° fase, 2° dia",Nota da redação,Qual o seu ano de ingresso?,Nota final,Envie aqui o espelho da sua redação,Chamada,Classificação no curso de ingresso,Forma de ingresso,Ciências da Natureza,Matemática,Linguagens,Ciências Humanas,Redação,Nota na Competência 1,Nota na Competência 2,Nota na Competência 3,Nota na Competência 4,Nota na Competência 5,Nota final.1,Envie aqui o espelho da sua redação.1
ESALQ,Administração,Ampla Concorrência (AC),3.0,60.0,81.0,43.33,44.5,2020,636.6555556,,,,Fuvest,,,,,,,,,,,,
FEARP,Administração,Escola Pública (EP),6.0,46.0,59.5,35.83,37.5,2020,488.137037,,,,Fuvest,,,,,,,,,,,,
FEARP,Administração,Ampla Concorrência (AC),64.0,60.0,51.5,40.83,31.5,2020,529.9888889,,,,Fuvest,,,,,,,,,,,,
FEARP,Administração,Ampla Concorrência (AC),50.0,59.0,67.0,32.5,39.5,2020,550.1851852000001,,,,Fuvest,,,,,,,,,,,,
FEARP,Administração,Ampla Concorrência (AC),42.0,65.0,48.5,45.83,28.0,2020,555.1740741,,,,Fuvest,,,,,,,,,,,,
FEARP,Administração,Ampla Concorrência (AC),30.0,57.0,71.5,35.0,39.5,2020,566.1111111,,,,Fuvest,,,,,,,,,,,,
FEARP,Administração,Ampla Concorrência (AC),28.0,62.0,64.5,37.5,33.0,2020,569.6296296,,,,Fuvest,,,,,,,,,,,,
FEARP,Administração,Ampla Concorrência (AC),15.0,65.0,64.0,44.0,38.0,2020,600.7407407000001,,,,Fuvest,,,,,,,,,,,,
FEARP,Administração,Ampla Concorrência (AC),21.0,60.0,58.5,58.5,33.0,2020,612.2222222,,,,Fuvest,,,,,,,,,,,,
FEA,Administração Diurno,Ampla Concorrência (AC),135.0,65.0,72.5,40.0,39.5,2020,616.0,,,,Fuvest,,,,,,,,,,,,
FEA,Administração Diurno,Ampla Concorrência (AC),150.0,76.0,69.0,44043.0,36.0,2020,617.0,,,,Fuvest,,,,,,,,,,,,
FEA,Administração Diurno,Ampla Concorrência (AC),186.0,59.0,71.5,55.0,50.0,2019,641.0,,,,Fuvest,,,,,,,,,,,,
FEA,Administração Diurno,Ampla Concorrência (AC),176.0,58.0,69.8,60.0,42.0,2019,646.0,,,,Fuvest,,,,,,,,,,,,
FEA,Administração Diurno,Ampla Concorrência (AC),143.0,70.0,56.5,69.17,25.0,2019,678.15,,,,Fuvest,,,,,,,,,,,,
FEA,Administração Diurno,Ampla Concorrência (AC),139.0,64.0,70.5,70.83,7.0,2019,708.15,,,,Fuvest,,,,,,,,,,,,
FEA,Administração Diurno,Ampla Concorrência (AC),113.0,69.0,77.5,63.33,42.0,2019,725.0,,,,Fuvest,,,,,,,,,,,,
FEA,Administração Diurno,"Pretos, Pardos e Indígenas (PPI)",15.0,41.0,53.0,44.17,28.0,2020,475.74,,,,Fuvest,,,,,,,,,,,,
FEA,Administração Diurno,Escola Pública (EP),77.0,49.0,60.5,34.17,32.0,2020,497.04,,,,Fuvest,,,,,,,,,,,,
FEA,Administração Diurno,Escola Pública (EP),21.0,57.0,56.5,49.17,29.5,2020,563.33,,,,Fuvest,,,,,,,,,,,,
FEA,Administração Diurno,Escola Pública (EP),16.0,64.0,61.0,38.33,33.5,2020,568.15,,,,Fuvest,,,,,,,,,,,,
FEA,Administração Diurno,Escola Pública (EP),13.0,50.0,68.5,48.33,34.0,2020,574.63,,,,Fuvest,,,,,,,,,,,,
FEA,Administração Diurno,Escola Pública (EP),12.0,57.0,67.0,44.17,43.0,2020,581.67,,,,Fuvest,,,,,,,,,,,,
FEA,Administração Diurno,Ampla Concorrência (AC),197.0,60.0,65.0,50.0,48.0,2020,605.56,,,,Fuvest,,,,,,,,,,,,
FEA,Administração Diurno,Ampla Concorrência (AC),153.0,69.0,55.5,52.5,26.5,2020,615.56,,,,Fuvest,,,,,,,,,,,,
