id,unidade,curso,ano,modalidade,chamada,nota_linguagens,nota_humanas,nota_natureza,nota_matematica,nota_redacao,nota_final,nota_redacao_c1,nota_redacao_c2,nota_redacao_c3,nota_redacao_c4,nota_redacao_c5,redacao
,FEARP,Administração,2020,Ampla Concorrência (AC),,600.3,676.2,656.3,895.2,840,746.54,,,,,,
,FEARP,Administração,2020,Ampla Concorrência (AC),,606.0,666.7,590.6,837.6,880,732.335,,,,,,
,FEARP,Administração,2020,Ampla Concorrência (AC),,631.2,632.5,623.7,734.4,900,710.335,180,180,180,160,200,
,FEARP,Administração,2020,Ampla Concorrência (AC),,631.9,621.1,589.3,752.2,920,712.635,160,200,180,180,200,
,FEA,Administração Diurno,2019,"Pretos, Pardos e Indígenas (PPI)",,,,,,,714.0,,,,,,
,FEA,Administração Diurno,2019,"Pretos, Pardos e Indígenas (PPI)",,640.6,703.2,677.6,757.7,760,715.0,,,,,,
,FEA,Administração Diurno,2020,"Pretos, Pardos e Indígenas (PPI)",,619.0,728.0,602.0,714.0,920,718.0,,,,,,
,FEA,Administração Diurno,2020,Escola Pública (EP),,618.1,676.9,636.4,724.9,780,678.9,,,,,,
,FEA,Administração Diurno,2020,Escola Pública (EP),,610.0,660.2,610.8,705.9,840,685.38,,,,,,
,FEA,Administração Diurno,2019,"Pretos, Pardos e Indígenas (PPI)",,625.0,690.0,620.0,710.0,840,697.5,,,,,,
,FEA,Administração Diurno,2019,"Pretos, Pardos e Indígenas (PPI)",,663.3,691.8,611.6,707.1,820,698.76,,,,,,
,FEA,Administração Diurno,2019,Escola Pública (EP),,627.1,691.8,659.0,774.2,800,710.42,,,,,,
,FEA,Administração Diurno,2019,Escola Pública (EP),,668.8,698.3,645.6,808.4,800,724.22,,,,,,
,FEA,Administração Noturno,2020,Escola Pública (EP),,623.7,663.5,638.7,684.2,920,696.0,,,,,,
,FEA,Administração Noturno,2020,Escola Pública (EP),,645.3,660.3,639.2,738.0,920,714.0,,,,,,
,FEA,Administração Noturno,2019,Escola Pública (EP),,600.0,600.0,590.0,710.0,940,720.0,,,,,,
,FEA,Administração Noturno,2019,Escola Pública (EP),,653.4,707.6,624.4,739.8,880,739.0,,,,,,
,FEA,Administração Noturno,2020,Escola Pública (EP),,621.3,661.9,620.7,756.7,820,699.88,,,,,,
,FEA,Administração Noturno,2020,Escola Pública (EP),,641.0,661.2,621.8,734.4,920,710.57,,,,,,
,FAU,Arquitetura e Urbanismo,2019,Escola Pública (EP),,698.8,749.6,693.0,770.9,840,765.16,160,200,160,160,160,
,FAU,Arquitetura e Urbanismo,2020,Ampla Concorrência (AC),,623.0,707.0,694.0,867.0,940,790.8,180,200,180,200,180,
,FAU,Arquitetura e Urbanismo,2020,Ampla Concorrência (AC),,644.5,683.5,649.3,885.7,960,795.67,180,200,200,200,180,
,FAU,Arquitetura e Urbanismo,2020,"Pretos, Pardos e Indígenas (PPI)",,663.1,688.0,647.8,764.5,860,745.9,160,200,160,180,160,
,FAU,Arquitetura e Urbanismo,2020,Escola Pública (EP),,658.3,660.1,621.7,751.3,980,770.11,180,200,200,200,200,
,FAU,Arquitetura e Urbanismo,2020,Ampla Concorrência (AC),,653.8,719.4,602.4,922.7,920,795.42,,,,,,
,FAU,Arquitetura e Urbanismo,2020,Ampla Concorrência (AC),,666.5,784.5,695.3,924.6,900,814.65,180,200,180,200,140,
,FAU,Arquitetura e Urbanismo,2020,Ampla Concorrência (AC),,632.7,758.7,663.8,824.4,940,791.54,160,200,200,180,200,
,FAU,Arquitetura e Urbanismo,2020,Ampla Concorrência (AC),,666.4,771.1,657.2,837.9,960,808.8,200,200,160,200,200,
,FAU,Arquitetura e Urbanismo,2020,Ampla Concorrência (AC),,632.7,758.7,663.8,824.4,940,791.54,160,200,200,180,200,
,FAU,Arquitetura e Urbanismo,2020,Ampla Concorrência (AC),,645.6,743.7,729.7,876.9,880,790.21,160,200,160,180,180,
,FAU,Arquitetura e Urbanismo,2020,Ampla Concorrência (AC),,673.6,659.1,686.5,833.4,960,789.87,180,200,180,200,200,
,FAU,Arquitetura e Urbanismo,2020,"Pretos, Pardos e Indígenas (PPI)",,592.7,624.7,588.6,794.1,960,749.16,160,200,200,200,200,
,FAU,Arquitetura e Urbanismo,2020,"Pretos, Pardos e Indígenas (PPI)",,605.6,609.3,584.9,749.8,940,733.43,,,,,,
,FAU,Arquitetura e Urbanismo,2020,"Pretos, Pardos e Indígenas (PPI)",,659.2,634.6,537.7,745.5,900,731.63,160,200,200,160,180,
,FAU,Arquitetura e Urbanismo,2020,Escola Pública (EP),,655.4,675.5,645.4,834.0,960,785.52,160,200,200,200,200,
,FAU,Arquitetura e Urbanismo,2020,Escola Pública (EP),,692.6,681.1,636.3,787.3,980,789.83,180,200,200,200,200,
,FAU,Arquitetura e Urbanismo,2020,Escola Pública (EP),,654.5,722.8,708.1,841.3,900,784.53,160,200,160,200,180,
,FAU,Arquitetura e Urbanismo,2020,Escola Pública (EP),,625.6,704.3,600.3,741.0,940,756.21,160,200,200,200,180,
,FAU,Arquitetura e Urbanismo,2020,Ampla Concorrência (AC),,658.5,717.0,690.4,765.1,940,779.16,160,200,200,180,200,
,FAU,Arquitetura e Urbanismo,2020,"Pretos, Pardos e Indígenas (PPI)",,615.9,607.7,612.1,768.6,880,723.65,160,200,180,160,180,
,FAU,Arquitetura e Urbanismo,2020,"Pretos, Pardos e Indígenas (PPI)",,656.0,656.9,574.7,693.3,860,716.71,160,180,160,180,180,
,FAU,Arquitetura e Urbanismo,2020,"Pretos, Pardos e Indígenas (PPI)",,624.7,617.4,625.7,750.9,900,731.17,,,,,,
,FAU,Arquitetura e Urbanismo,2020,"Pretos, Pardos e Indígenas (PPI)",,598.6,631.5,631.5,692.3,920,723.63,160,200,160,200,200,
,FAU,Arquitetura e Urbanismo,2020,Escola Pública (EP),,635.8,693.7,599.3,755.6,920,752.95,160,200,180,180,200,
,ECA,Audiovisual,2018,"Pretos, Pardos e Indígenas (PPI)",,653.3,744.4,590.6,676.7,800,726.27,160,160,160,160,160,
,EACH,Biotecnologia,2020,"Pretos, Pardos e Indígenas (PPI)",,621.0,625.0,607.0,724.0,720,661.142857142857,,,,,,
,EACH,Biotecnologia,2020,Escola Pública (EP),,601.4,629.1,591.7,746.7,960,695.328571428571,160,200,200,200,200,
,IME,Ciência da Computação,2020,Ampla Concorrência (AC),,657.4,706.3,696.1,944.5,900,804.68,160,160,180,200,200,
,IME,Ciência da Computação,2020,Ampla Concorrência (AC),,666.2,686.0,738.0,946.8,900,813.48,160,200,180,160,200,
,IME,Ciência da Computação,2020,Ampla Concorrência (AC),,618.8,602.5,670.6,946.4,980,798.05,180,200,200,200,200,
,FEA,Ciências Atuariais,2020,Escola Pública (EP),,625.9,641.9,631.3,719.1,640,659.89,,,,,,
,FEA,Ciências Atuariais,2020,Escola Pública (EP),,622.4,624.0,609.8,700.3,780,665.37,,,,,,
,FEA,Ciências Atuariais,2020,Escola Pública (EP),,614.4,623.8,603.3,745.4,720,668.01,,,,,,
,FEA,Ciências Atuariais,2020,Escola Pública (EP),,635.6,669.4,622.3,778.5,680,690.53,,,,,,
,FEA,Ciências Atuariais,2020,Escola Pública (EP),,645.6,669.8,605.5,704.8,900,700.04,,,,,,
,FEA,Ciências Atuariais,2020,Escola Pública (EP),,623.9,632.5,638.3,794.8,820,705.29,,,,,,
,FFCLRP,Ciências Biológicas,2019,"Pretos, Pardos e Indígenas (PPI)",,712.8,698.2,658.5,780.8,840,742.488888888889,160,200,160,160,160,
,FFCLRP,Ciências Biológicas,2019,Escola Pública (EP),,649.5,695.3,674.4,755.1,880,734.811111111111,160,180,160,200,180,
,FFCLRP,Ciências Biológicas,2020,"Pretos, Pardos e Indígenas (PPI)",,637.8,597.6,620.0,706.2,740,667.288888888889,160,120,140,160,160,
,FEA,Ciências Contábeis,2020,Escola Pública (EP),,606.6,631.0,643.7,745.3,620,660.41,,,,,,
,FEA,Ciências Contábeis,2020,"Pretos, Pardos e Indígenas (PPI)",,630.9,631.7,613.4,765.3,640,668.33,,,,,,
,FEA,Ciências Contábeis,2020,"Pretos, Pardos e Indígenas (PPI)",,600.5,630.0,615.0,717.0,820,670.0,,,,,,
,FEA,Ciências Contábeis,2019,"Pretos, Pardos e Indígenas (PPI)",,613.5,719.2,677.3,753.9,600,691.0,,,,,,
,FEA,Ciências Contábeis,2020,Escola Pública (EP),,616.1,654.4,623.7,786.7,820,706.0,,,,,,
,FEA,Ciências Contábeis,2020,Escola Pública (EP),,640.5,670.7,629.1,809.4,720,707.11,,,,,,
