unidade,curso,ano,modalidade,chamada,nota_1,nota_2_1,nota_2_2,nota_final,nota_redacao,classificacao_carreira,classificacao_curso,redacao
ESALQ,Administração,2020,Ampla Concorrência (AC),,60,81.0,43.33,636.6555556,44.5,3,,
FEARP,Administração,2020,Escola Pública (EP),,46,59.5,35.83,488.137037,37.5,6,,
FEARP,Administração,2020,Ampla Concorrência (AC),,60,51.5,40.83,529.9888889,31.5,64,,
FEARP,Administração,2020,Ampla Concorrência (AC),,59,67.0,32.5,550.1851852000001,39.5,50,,
FEARP,Administração,2020,Ampla Concorrência (AC),,65,48.5,45.83,555.1740741,28.0,42,,
FEARP,Administração,2020,Ampla Concorrência (AC),,57,71.5,35.0,566.1111111,39.5,30,,
FEARP,Administração,2020,Ampla Concorrência (AC),,62,64.5,37.5,569.6296296,33.0,28,,
FEARP,Administração,2020,Ampla Concorrência (AC),,65,64.0,44.0,600.7407407000001,38.0,15,,
FEARP,Administração,2020,Ampla Concorrência (AC),,60,58.5,58.5,612.2222222,33.0,21,,
FEA,Administração Diurno,2020,Ampla Concorrência (AC),,65,72.5,40.0,616.0,39.5,135,,
FEA,Administração Diurno,2020,Ampla Concorrência (AC),,76,69.0,44043.0,617.0,36.0,150,,
FEA,Administração Diurno,2019,Ampla Concorrência (AC),,59,71.5,55.0,641.0,50.0,186,,
FEA,Administração Diurno,2019,Ampla Concorrência (AC),,58,69.8,60.0,646.0,42.0,176,,
FEA,Administração Diurno,2019,Ampla Concorrência (AC),,70,56.5,69.17,678.15,25.0,143,,
FEA,Administração Diurno,2019,Ampla Concorrência (AC),,64,70.5,70.83,708.15,7.0,139,,
FEA,Administração Diurno,2019,Ampla Concorrência (AC),,69,77.5,63.33,725.0,42.0,113,,
FEA,Administração Diurno,2020,"Pretos, Pardos e Indígenas (PPI)",,41,53.0,44.17,475.74,28.0,15,,
FEA,Administração Diurno,2020,Escola Pública (EP),,49,60.5,34.17,497.04,32.0,77,,
FEA,Administração Diurno,2020,Escola Pública (EP),,57,56.5,49.17,563.33,29.5,21,,
FEA,Administração Diurno,2020,Escola Pública (EP),,64,61.0,38.33,568.15,33.5,16,,
FEA,Administração Diurno,2020,Escola Pública (EP),,50,68.5,48.33,574.63,34.0,13,,
FEA,Administração Diurno,2020,Escola Pública (EP),,57,67.0,44.17,581.67,43.0,12,,
FEA,Administração Diurno,2020,Ampla Concorrência (AC),,60,65.0,50.0,605.56,48.0,197,,
FEA,Administração Diurno,2020,Ampla Concorrência (AC),,69,55.5,52.5,615.56,26.5,153,,
FEA,Administração Diurno,2019,Ampla Concorrência (AC),,55,73.0,51.67,619.26,38.0,112,,
FEA,Administração Diurno,2020,Ampla Concorrência (AC),,66,65.5,47.5,621.11,40.0,138,,
FEA,Administração Diurno,2019,Ampla Concorrência (AC),,50,75.0,55.83,621.3,37.0,110,,
FEA,Administração Diurno,2020,Ampla Concorrência (AC),,68,65.5,45.83,622.96,37.5,178,,
FEA,Administração Diurno,2020,Ampla Concorrência (AC),,61,72.17,47.5,624.81,39.67,129,,
FEA,Administração Diurno,2020,Ampla Concorrência (AC),,68,68.0,45.0,628.52,39.5,120,,
FEA,Administração Diurno,2019,Ampla Concorrência (AC),,53,70.0,60.0,629.63,35.0,57,,
FEA,Administração Diurno,2020,Ampla Concorrência (AC),,68,62.0,51.67,630.74,32.0,114,,
FEA,Administração Diurno,2020,Ampla Concorrência (AC),,70,58.5,53.33,632.04,28.0,111,,
FEA,Administração Diurno,2020,Ampla Concorrência (AC),,71,68.5,42.5,632.96,38.0,108,,
FEA,Administração Diurno,2020,Ampla Concorrência (AC),,66,62.5,54.17,633.33,35.0,103,,
FEA,Administração Diurno,2020,Ampla Concorrência (AC),,68,72.0,43.33,636.3,43.0,97,,
FEA,Administração Diurno,2019,Ampla Concorrência (AC),,58,74.5,55.0,646.48,41.5,51,,
FEA,Administração Diurno,2019,Ampla Concorrência (AC),,66,67.5,53.33,647.22,31.5,36,,
FEA,Administração Diurno,2020,Ampla Concorrência (AC),,71,68.0,50.83,652.41,35.0,65,,
FEA,Administração Diurno,2020,Ampla Concorrência (AC),,69,66.0,54.17,656.11,36.5,57,,
FEA,Administração Diurno,2019,Ampla Concorrência (AC),,58,77.0,55.83,657.59,40.0,31,,
FEA,Administração Diurno,2020,Ampla Concorrência (AC),,65,75.5,50.0,659.07,43.0,50,,
FEA,Administração Diurno,2020,Ampla Concorrência (AC),,74,66.0,51.67,666.3,33.0,41,,
FEA,Administração Diurno,2019,Ampla Concorrência (AC),,59,81.5,58.33,684.63,44.5,15,,
FEA,Administração Diurno,2020,Ampla Concorrência (AC),,74,67.0,56.67,686.3,35.0,25,,
FEA,Administração Diurno,2020,Ampla Concorrência (AC),,71,79.0,59.17,723.52,46.5,9,,
FEA,Administração Noturno,2020,Escola Pública (EP),,68,52.0,45.0,575.0,27.0,12,,
FEA,Administração Noturno,2020,Ampla Concorrência (AC),,66,67.0,43.4,612.0,89.0,153,,
FEA,Administração Noturno,2020,Ampla Concorrência (AC),,63,66.0,50.0,616.0,39.0,6,,
FEA,Administração Noturno,2020,"Pretos, Pardos e Indígenas (PPI)",,41,59.0,28.33,442.96,33.0,2,,
FEA,Administração Noturno,2020,"Pretos, Pardos e Indígenas (PPI)",,50,51.5,32.5,465.19,33.0,21,,
FEA,Administração Noturno,2020,Escola Pública (EP),,51,54.5,37.5,495.56,26.5,55,,
FEA,Administração Noturno,2020,Escola Pública (EP),,50,63.0,37.5,520.19,41.0,44,,
FEA,Administração Noturno,2020,Escola Pública (EP),,55,66.5,33.3,536.48,40.0,34,,
FEA,Administração Noturno,2020,Escola Pública (EP),,59,92.0,42.5,551.85,34.5,26,,
FEA,Administração Noturno,2020,Ampla Concorrência (AC),,70,59.0,40.83,592.04,36.0,227,,
FEA,Administração Noturno,2020,Ampla Concorrência (AC),,61,59.6,59.6,593.7,33.0,217,,
FEA,Administração Noturno,2020,Ampla Concorrência (AC),,60,60.0,51.97,594.44,28.5,215,,
FEA,Administração Noturno,2020,Ampla Concorrência (AC),,62,65.5,45.83,600.74,33.0,192,,
FEA,Administração Noturno,2020,Escola Pública (EP),,55,72.5,47.5,603.7,45.0,3,,
FEA,Administração Noturno,2019,Ampla Concorrência (AC),,59,60.0,55.83,604.63,28.5,219,,
FEA,Administração Noturno,2019,Ampla Concorrência (AC),,59,72.67,43.33,605.19,39.67,215,,
FEA,Administração Noturno,2020,Ampla Concorrência (AC),,56,76.5,43.33,606.85,41.0,172,,
FEA,Administração Noturno,2020,Ampla Concorrência (AC),,57,68.0,50.83,607.22,32.0,171,,
FEA,Administração Noturno,2020,Ampla Concorrência (AC),,62,62.5,50.83,607.41,34.0,170,,
FEA,Administração Noturno,2019,Ampla Concorrência (AC),,58,66.5,51.67,608.7,33.0,207,,
FEA,Administração Noturno,2020,Ampla Concorrência (AC),,71,60.0,44.17,610.19,38.5,163,,
FEA,Administração Noturno,2020,Ampla Concorrência (AC),,67,55.5,53.33,610.93,36.5,0,,
FEA,Administração Noturno,2019,Ampla Concorrência (AC),,56,78.0,43.33,611.85,41.5,195,,
FEA,Administração Noturno,2020,Ampla Concorrência (AC),,65,61.0,50.83,613.52,43979.0,147,,
FEA,Administração Noturno,2020,Ampla Concorrência (AC),,69,56.0,51.67,614.44,32.0,0,,
FEA,Administração Noturno,2019,Ampla Concorrência (AC),,65,59.5,53.33,616.85,33.0,179,,
FEA,Administração Noturno,2019,Ampla Concorrência (AC),,65,63.0,50.0,617.41,33.0,178,,
FEA,Administração Noturno,2020,Ampla Concorrência (AC),,64,76.0,38.0,618.5,41.5,127,,
FEA,Administração Noturno,2019,Ampla Concorrência (AC),,67,66.5,45.0,619.81,33.5,0,,
FEA,Administração Noturno,2019,Ampla Concorrência (AC),,57,66.5,56.57,621.67,34.5,161,,
FEA,Administração Noturno,2020,Ampla Concorrência (AC),,60,69.0,50.83,621.67,41.5,119,,
FEA,Administração Noturno,2020,Ampla Concorrência (AC),,70,65.0,44.17,623.15,34.5,114,,
FEA,Administração Noturno,2019,Ampla Concorrência (AC),,59,64.5,57.5,625.19,33.0,0,,
