id,unidade,area,curso,fuvest_ac,fuvest_ep,fuvest_ppi,fuvest,enem_ac,enem_ep_l1,enem_ep_l3,enem_ep,enem_ppi_l2,enem_ppi_l4,enem_ppi,enem
0,EACH,E,Bacharelado em Sistemas de Informação,28,10,4,42,2,0,8,8,0,8,8,18
1,EACH,E,Bacharelado em Sistemas de Informação,56,21,7,84,4,0,16,16,0,16,16,36
2,EACH,E,Licenciatura em Ciências da Natureza,30,9,3,42,0,0,9,9,0,9,9,18
3,EACH,B,Bacharelado em Educação Física e Saúde,20,14,8,42,10,4,0,4,4,0,4,18
4,EACH,B,Bacharelado em Biotecnologia,30,11,1,42,0,0,7,7,0,11,11,18
5,EACH,B,Curso de Graduação em Gerontologia,24,12,6,42,6,0,6,6,0,6,6,18
6,EACH,B,Curso de Graduação em Obstetrícia,30,12,0,42,0,3,3,6,3,9,12,18
7,EACH,H,Bacharelado em Têxtil e Moda,24,12,6,42,6,3,3,6,3,3,6,18
8,EACH,H,Bacharelado em Lazer e Turismo,30,9,3,42,0,9,0,9,9,0,9,18
9,EACH,H,Bacharelado em Lazer e Turismo,30,9,3,42,0,9,0,9,9,0,9,18
10,EACH,H,Bacharelado em Gestão Ambiental,27,11,4,42,3,0,7,7,0,8,8,18
11,EACH,H,Bacharelado em Gestão Ambiental,27,11,4,42,3,0,7,7,0,8,8,18
12,EACH,H,Gestão de Políticas Públicas,24,12,6,42,6,3,3,6,3,3,6,18
13,EACH,H,Gestão de Políticas Públicas,24,12,6,42,6,3,3,6,3,3,6,18
14,EACH,H,Marketing,21,13,8,42,9,0,5,5,0,4,4,18
15,EACH,H,Marketing,21,13,8,42,9,0,5,5,0,4,4,18
16,ECA,H,Artes Cênicas - Bach. e Lic.,15,9,6,30,0,0,0,0,0,0,0,0
17,ECA,H,Artes Visuais - Bach. e Lic.,15,9,6,30,0,0,0,0,0,0,0,0
18,ECA,H,Música - Bach. e Lic.,25,15,10,50,0,0,0,0,0,0,0,0
19,ECA,H,Biblioteconomia,8,4,2,14,2,1,1,2,1,1,2,6
20,ECA,H,Biblioteconomia,8,4,2,14,2,1,1,2,1,1,2,6
21,ECA,H,Turismo,13,6,2,21,2,3,0,3,4,0,4,9
22,ECA,H,Bach. Com. Social: Publicidade e Propaganda,8,4,2,14,2,0,2,2,0,2,2,6
23,ECA,H,Bach. Com. Social: Publicidade e Propaganda,12,6,3,21,3,0,3,3,0,3,3,9
24,ECA,H,Bach. Com. Social: Editoração,7,3,0,10,0,2,0,2,0,3,3,5
25,ECA,H,Bacharelado em Jornalismo,15,6,0,21,0,3,0,3,0,6,6,9
26,ECA,H,Bacharelado em Jornalismo,15,6,0,21,0,3,0,3,0,6,6,9
27,ECA,H,Bacharelado em Relações Públicas,8,4,2,14,2,0,2,2,0,2,2,6
28,ECA,H,Bacharelado em Relações Públicas,12,6,3,21,3,0,3,3,0,3,3,9
29,ECA,H,Curso Superior do Audiovisual,17,6,1,24,0,1,4,5,1,5,6,11
30,ECA,H,Licenciatura em Educomunicação,13,5,3,21,2,0,4,4,0,3,3,9
31,EEFE,B,Educação Física e Esporte – Educação Física (Bach. e Lic.) e Esporte (Bach.),50,20,10,80,0,0,11,11,0,9,9,20
32,EEFERP,B,Educação Física,27,8,7,42,3,0,10,10,0,5,5,18
33,EE,B,Enfermagem - Bach. e Lic.,27,19,10,56,13,0,6,6,0,5,5,24
34,EERP,B,Enfermagem – Bacharelado,40,15,7,62,0,0,10,10,2,6,8,18
35,EERP,B,Enfermagem – Bach. e Lic.,25,9,5,39,0,0,6,6,1,4,5,11
36,EEL,E,Engenharia de Materiais,18,7,5,30,2,4,1,5,2,1,3,10
37,EEL,E,Engenharia Bioquímica,18,8,4,30,2,3,1,4,3,1,4,10
38,EEL,E,Engenharia Química,32,17,11,60,8,4,4,8,2,2,4,20
39,EEL,E,Engenharia Química,32,17,11,60,8,4,4,8,2,2,4,20
40,EEL,E,Engenharia Ambiental,19,9,6,34,1,2,1,3,1,1,2,6
41,EEL,E,Engenharia de Produção,18,6,6,30,2,3,3,6,1,1,2,10
42,EEL,E,Engenharia Física,18,7,5,30,2,4,1,5,2,1,3,10
43,EESC,E,Engenharia Civil,26,13,7,46,4,1,4,5,1,4,5,14
44,EESC,E,Engenharia Elétrica (Ênfase em Eletrônica),21,11,6,38,4,1,3,4,1,3,4,12
45,EESC,E,Engenharia Elétrica (Ênfase em Sistemas de Energia e Automação),21,11,6,38,4,1,3,4,1,3,4,12
46,EESC,E,Engenharia Mecânica,21,11,6,38,4,1,3,4,1,3,4,12
47,EESC,E,Engenharia de Produção,21,11,6,38,4,1,3,4,1,3,4,12
48,EESC,E,Engenharia Aeronáutica,17,9,5,31,3,1,2,3,1,2,3,9
49,EESC,E,Engenharia Ambiental,17,9,5,31,3,1,2,3,1,2,3,9
50,EESC,E,Engenharia Mecatrônica,21,11,6,38,4,1,3,4,1,3,4,12
51,EESC,E,Engenharia de Materiais e Manufatura,21,11,6,38,4,1,3,4,1,3,4,12
52,EESC/ICMC,E,Engenharia de Computação,21,11,6,38,4,1,3,4,1,3,4,12
53,EP,E,Engenharia Ambiental,27,16,11,54,3,0,2,2,0,1,1,6
54,EP,E,Engenharia Civil,60,38,24,122,8,0,4,4,0,2,2,14
55,EP,E,Engenharia de Computação,33,21,12,66,3,0,2,2,0,2,2,7
56,EP,E,Engenharia de Materiais; Engenharia Metalúrgica; Engenharia Nuclear ,24,15,10,49,3,0,2,2,0,1,1,6
57,EP,E,Engenharia de Minas,14,8,5,27,1,0,1,1,0,1,1,3
58,EP,E,Engenharia de Petróleo,16,10,6,32,1,0,1,1,0,1,1,3
59,EP,E,Engenharia de Produção,33,21,14,68,5,0,2,2,0,1,1,8
