id,unidade,curso,ano,modalidade,chamada,nota_linguagens,nota_humanas,nota_natureza,nota_matematica,nota_redacao,nota_final,nota_redacao_c1,nota_redacao_c2,nota_redacao_c3,nota_redacao_c4,nota_redacao_c5,redacao
86,FEARP,Administração,2020,Ampla Concorrência (AC),,600.3,676.2,656.3,895.2,840,746.54,,,,,,
86,FEARP,Administração,2020,Ampla Concorrência (AC),,606,666.7,590.6,837.6,880,732.335,,,,,,
86,FEARP,Administração,2020,Ampla Concorrência (AC),,631.2,632.5,623.7,734.4,900,710.335,180,180,180,160,200,
86,FEARP,Administração,2020,Ampla Concorrência (AC),,631.9,621.1,589.3,752.2,920,712.635,160,200,180,180,200,
80,FEA,Administração Diurno,2019,"Pretos, Pardos e Indígenas (PPI)",,,,,,,714,,,,,,
80,FEA,Administração Diurno,2019,"Pretos, Pardos e Indígenas (PPI)",,640.6,703.2,677.6,757.7,760,715,,,,,,
80,FEA,Administração Diurno,2020,"Pretos, Pardos e Indígenas (PPI)",,619,728,602,714,920,718,,,,,,
80,FEA,Administração Diurno,2020,Escola Pública (EP),,618.1,676.9,636.4,724.9,780,678.9,,,,,,
80,FEA,Administração Diurno,2020,Escola Pública (EP),,610,660.2,610.8,705.9,840,685.38,,,,,,
80,FEA,Administração Diurno,2019,"Pretos, Pardos e Indígenas (PPI)",,625,690,620,710,840,697.5,,,,,,
80,FEA,Administração Diurno,2019,"Pretos, Pardos e Indígenas (PPI)",,663.3,691.8,611.6,707.1,820,698.76,,,,,,
80,FEA,Administração Diurno,2019,Escola Pública (EP),,627.1,691.8,659,774.2,800,710.42,,,,,,
80,FEA,Administração Diurno,2019,Escola Pública (EP),,668.8,698.3,645.6,808.4,800,724.22,,,,,,
81,FEA,Administração Noturno,2020,Escola Pública (EP),,623.7,663.5,638.7,684.2,920,696,,,,,,
81,FEA,Administração Noturno,2020,Escola Pública (EP),,645.3,660.3,639.2,738,920,714,,,,,,
81,FEA,Administração Noturno,2019,Escola Pública (EP),,600,600,590,710,940,720,,,,,,
81,FEA,Administração Noturno,2019,Escola Pública (EP),,653.4,707.6,624.4,739.8,880,739,,,,,,
81,FEA,Administração Noturno,2020,Escola Pública (EP),,621.3,661.9,620.7,756.7,820,699.88,,,,,,
81,FEA,Administração Noturno,2020,Escola Pública (EP),,641,661.2,621.8,734.4,920,710.57,,,,,,
71,FAU,Arquitetura e Urbanismo,2019,Escola Pública (EP),,698.8,749.6,693,770.9,840,765.16,160,200,160,160,160,
71,FAU,Arquitetura e Urbanismo,2020,Ampla Concorrência (AC),,623,707,694,867,940,790.8,180,200,180,200,180,
