id,unidade,curso,ano,modalidade,chamada,nota_1,nota_2_1,nota_2_2,nota_final,nota_redacao,classificacao_carreira,classificacao_curso,redacao
4,EACH,Biotecnologia,,Ampla Concorrência (AC),Primeira,69,53,60,632.22,31.5,25,25,
4,EACH,Biotecnologia,,Ampla Concorrência (AC),Primeira,64,60.5,53.33,616.48,36.5,28,28,
4,EACH,Biotecnologia,,Ampla Concorrência (AC),Primeira,69,55.17,62.5,647.78,30.67,2222,2222,https://drive.google.com/open?id=1xdkKGfCqlV1fqCVdrR5wxd6yNNR7p_gG
4,EACH,Biotecnologia,2021,Ampla Concorrência (AC),Primeira,62,57,65.83,639.07,36.5,24,24,https://drive.google.com/open?id=1BTQ5QcG0wVyge-3N6ybgV3IjSSyeihWY
4,EACH,Biotecnologia,2021,Ampla Concorrência (AC),Primeira,78,77,83.33,823.33,46.5,1,1,https://drive.google.com/open?id=13HroIuXzfwRpEn0V3_bX27NfvKu336K3
4,EACH,Biotecnologia,2021,Ampla Concorrência (AC),Primeira,65,74,71,705,42,1,1,
4,EACH,Biotecnologia,2021,Ampla Concorrência (AC),Primeira,68,69.5,52.5,658.52,41.5,20,20,
4,EACH,Biotecnologia,2021,Escola Pública (EP),Primeira,57,68,54.17,618.33,41,6,6,
4,EACH,Biotecnologia,2021,Ampla Concorrência (AC),Primeira,76,54,63.33,672.59,30,19,19,https://drive.google.com/open?id=1brQUYru8eG47j_3kT3AbrGESSo3Z_wks
10,EACH,Gestão Ambiental,,Ampla Concorrência (AC),Primeira,48,50.5,32.5,454.44,31.5,21,21,https://drive.google.com/open?id=1MGxYfPYPGiYJQH5EEZDGY39ebojNB7fm
10,EACH,Gestão Ambiental,2021,Ampla Concorrência (AC),Primeira,41,55.83,27.5,429.63,35.33,28,28,
10,EACH,Gestão Ambiental,2021,Ampla Concorrência (AC),Primeira,46,56,21.67,429.26,33,29,29,
10,EACH,Gestão Ambiental,2021,Escola Pública (EP),Primeira,49,59,35.83,497.59,35,2,2,https://drive.google.com/open?id=1pI5p8ZXQeYoHmdfg88OYODyp9VNiN2qv
10,EACH,Gestão Ambiental,2021,Escola Pública (EP),Primeira,42,43,30,398.89,22.5,17,17,
10,EACH,Gestão Ambiental,2021,Escola Pública (EP),Primeira,49,49,50,515,29,1,1,https://drive.google.com/open?id=1mZTdFyGyxT5p88yZHkfJKYS4ySGRs7v1
10,EACH,Gestão Ambiental,2021,Escola Pública (EP),Primeira,50,51.5,35,473.52,28.5,5,5,
10,EACH,Gestão Ambiental,2021,Escola Pública (EP),Primeira,35,54.5,28.33,405.74,36.5,12,11,https://drive.google.com/open?id=18aouCGjaYBLmPCtk1w6LjtqXB8lPh4qH
10,EACH,Gestão Ambiental,2021,Ampla Concorrência (AC),Primeira,34,44.5,41.67,413.15,28.5,33,33,
12,EACH,Gestão de Políticas Públicas,2021,Ampla Concorrência (AC),Primeira,50,61.5,32.5,498.52,38,34,33,
12,EACH,Gestão de Políticas Públicas,2021,"Pretos, Pardos e Indígenas (PPI)",Primeira,56,48.5,35.83,488.52,28,2,2,
12,EACH,Gestão de Políticas Públicas,2021,Ampla Concorrência (AC),Primeira,62,68,55.83,642.41,39.5,2,2,https://drive.google.com/open?id=1xO4Weifpmi1fxKqxJC-EMviiom0_MHpV
12,EACH,Gestão de Políticas Públicas,2021,Ampla Concorrência (AC),Primeira,61,60,51.67,598.15,38,6,6,
12,EACH,Gestão de Políticas Públicas,2021,Ampla Concorrência (AC),Primeira,62,62,37.5,561.3,30,14,14,
12,EACH,Gestão de Políticas Públicas,2020,Ampla Concorrência (AC),Após a terceira,37,55.5,27.5,413.7,33.5,95,95,
2,EACH,Licenciatura em Ciencias da Natureza,2021,Escola Pública (EP),Primeira,42,35,24.17,352.78,24.5,6,6,
14,EACH,Marketing,2021,Escola Pública (EP),Primeira,61,42.5,39.17,498.15,30,13,13,
14,EACH,Marketing,2021,Escola Pública (EP),Primeira,51,54,36.67,491.11,31.5,15,15,
14,EACH,Marketing,2021,Ampla Concorrência (AC),Primeira,66,56,55,616,31,6,6,
14,EACH,Marketing,2021,"Pretos, Pardos e Indígenas (PPI)",Após a terceira,32,49,17.5,340.19,29.5,30,29,https://drive.google.com/open?id=1nnxMVH3qpDXVXv4B37GwDrXdhYh65A02
14,EACH,Marketing,2021,Escola Pública (EP),Primeira,47,55.5,35,475.74,29,24,24,https://drive.google.com/open?id=1OSHvNAz78BOBc-8LlCvbeKqyc-OANfA8
14,EACH,Marketing,2020,Ampla Concorrência (AC),Após a terceira,56,52,27.5,472.41,30,45,45,https://drive.google.com/open?id=1aUsvJNSShZlr-cMkUodY3vvIHA--iPkZ
14,EACH,Marketing,2021,Ampla Concorrência (AC),Primeira,55,56,44.17,537.59,31,24,24,
14,EACH,Marketing,2021,Escola Pública (EP),Primeira,58,44,40,494.81,30,14,14,https://drive.google.com/open?id=1ifZ8cSt5eWhbSPniMA2N7aQq1kp1vT8a
