id,unidade,curso,ano,modalidade,chamada,nota_1,nota_2_1,nota_2_2,nota_final,nota_redacao,classificacao_carreira,classificacao_curso,redacao
4,EACH,Biotecnologia,2020,Escola Pública (EP),,51,51.88,31.25,465.9888889,30,32,,
4,EACH,Biotecnologia,2020,Escola Pública (EP),,52,68,34,532.5925926,43,7,,
4,EACH,Biotecnologia,2020,Escola Pública (EP),,60,55,41.67,544.4555556,31.5,5,,
4,EACH,Biotecnologia,2020,Ampla Concorrência (AC),,57,59.5,49.17,573.3444444,32,27,,
4,EACH,Biotecnologia,2020,Ampla Concorrência (AC),,64,68,41.67,602.6037037,36,20,,
4,EACH,Biotecnologia,2020,Ampla Concorrência (AC),,65,68,44.17,614.6407407,36,17,,
4,EACH,Biotecnologia,2020,Ampla Concorrência (AC),,60,62.5,68.33,658.3222222,36,11,,
4,EACH,Biotecnologia,2020,Ampla Concorrência (AC),,72,61.5,64.17,685.5666667,36.5,8,,
4,EACH,Biotecnologia,2020,Ampla Concorrência (AC),,78,56.5,77.5,735.5555556,33,1,,
11,EACH,Gestão Ambiental,2019,Ampla Concorrência (AC),,35,55.5,19.17,378.5296296,35,51,,
11,EACH,Gestão Ambiental,2020,Escola Pública (EP),,58,62,55.83,607.5814815,31.5,1,,
12,EACH,Gestão de Políticas Públicas,2015,Escola Pública (EP),,48,55,16,414.4444444,25,60,,
12,EACH,Gestão de Políticas Públicas,2019,Ampla Concorrência (AC),,42,63.5,20,433.8888889,38,42,,
12,EACH,Gestão de Políticas Públicas,2019,Ampla Concorrência (AC),,41,59.5,28.33,444.6185185,33,65,,
12,EACH,Gestão de Políticas Públicas,2020,Ampla Concorrência (AC),,54,59,25,480,38,53,,
12,EACH,Gestão de Políticas Públicas,2020,Escola Pública (EP),,50,58.5,30,480.1851852,31,3,,
12,EACH,Gestão de Políticas Públicas,2020,Ampla Concorrência (AC),,42,68.5,36.67,506.1222222,41,39,,
12,EACH,Gestão de Políticas Públicas,2020,Ampla Concorrência (AC),,53,68,41.67,561.862963,36.5,12,,
12,EACH,Gestão de Políticas Públicas,2020,Ampla Concorrência (AC),,77,64.5,55.83,686.2851852,40,1,,
0,EACH,Sistemas de Informação,2020,Escola Pública (EP),,50,55,16.67,424.0851852,29.5,143,,
0,EACH,Sistemas de Informação,2020,Escola Pública (EP),,51,50,30.83,458.3222222,29.5,98,,
0,EACH,Sistemas de Informação,2020,Escola Pública (EP),,55,61,25.83,493.137037,33,63,,
0,EACH,Sistemas de Informação,2019,Escola Pública (EP),,49,57.5,40,506.4814815,30,53,,
0,EACH,Sistemas de Informação,2020,Escola Pública (EP),,63,51,43,546.6666667,28,41,,
0,EACH,Sistemas de Informação,2020,Ampla Concorrência (AC),,62,55.5,48.33,575.7296296,31,138,,
0,EACH,Sistemas de Informação,2020,Ampla Concorrência (AC),,60,74.5,35,587.2222222,40,122,,
0,EACH,Sistemas de Informação,2020,Ampla Concorrência (AC),,61,67.5,54.17,631.4925926,41.5,57,,
0,EACH,Sistemas de Informação,2020,Ampla Concorrência (AC),,59,52,75.83,644.6185185,31.5,48,,
7,EACH,Têxtil e Moda,2019,Escola Pública (EP),,44,57,29.17,450.1962963,31.5,3,,
16,ECA,Artes Cênicas,2020,Ampla Concorrência (AC),,51,75,65,655.5555556,40,15,,
17,ECA,Artes Visuais,2020,"Pretos, Pardos e Indígenas (PPI)",,45,43,32.5,418.3333333,28,4,,
17,ECA,Artes Visuais,2019,Ampla Concorrência (AC),,51,57,39,508.8888889,28.5,7,,
29,ECA,Audiovisual,2019,Escola Pública (EP),,53,86.5,48.33,645.7296296,48,3,,
29,ECA,Audiovisual,2017,Ampla Concorrência (AC),,57,62.75,68.75,649.4444444,31.5,27,,
29,ECA,Audiovisual,2020,Ampla Concorrência (AC),,69,71.5,63.33,704.9888889,40,8,,
24,ECA,Com. Social: Editoração,2020,Escola Pública (EP),,42,54,28.33,429.9888889,30,3,,
24,ECA,Com. Social: Editoração,2020,"Pretos, Pardos e Indígenas (PPI)",,49,57.17,40.83,508.1481481,37.67,1,,
24,ECA,Com. Social: Editoração,2020,Ampla Concorrência (AC),,54,65.5,55,601.6666667,38,3,,
22,ECA,Com. Social: Publicidade e Propaganda,2019,Ampla Concorrência (AC),,47,68,48,560.7407407,36,33,,
22,ECA,Com. Social: Publicidade e Propaganda,2019,Escola Pública (EP),,52,66,52.5,587.5925926,33.5,2,,
22,ECA,Com. Social: Publicidade e Propaganda,2020,Ampla Concorrência (AC),,64,61.5,45,592.037037,38,17,,
22,ECA,Com. Social: Publicidade e Propaganda,2019,Ampla Concorrência (AC),,58,71,42.5,593.1481481,37,14,,
22,ECA,Com. Social: Publicidade e Propaganda,2019,Ampla Concorrência (AC),,57,67.5,49.17,600.0111111,37,12,,
30,ECA,Educomunicação,2020,Ampla Concorrência (AC),,50,70,49,581.8518519,45,2,,
27,ECA,Relações Públicas,2020,Escola Pública (EP),,44,58.5,33.33,469.062963,30,5,,
27,ECA,Relações Públicas,2020,Ampla Concorrência (AC),,61,55.5,35,527.5925926,29.5,18,,
21,ECA,Turismo,2020,Ampla Concorrência (AC),,50,49,57.5,540.1851852,27,3,,
40,EEL,Engenharia Ambiental,2019,Ampla Concorrência (AC),,51,50,60,555.5555556,38,13,,
36,EEL,Engenharia de Materiais,2020,Ampla Concorrência (AC),,66,68,63.33,682.2111111,38.5,1,,
34,EERP,Enfermagem (Bach),2020,Escola Pública (EP),,53,62.5,46.67,560.1962963,34.5,2,,
48,EESC,Engenharia Aeronáutica,2020,Ampla Concorrência (AC),,72,61.5,62.5,680,33,41,,
48,EESC,Engenharia Aeronáutica,2020,"Pretos, Pardos e Indígenas (PPI)",,72,53,80,710,25,1,,
48,EESC,Engenharia Aeronáutica,2020,Ampla Concorrência (AC),,72,63.5,95,795,35,3,,
48,EESC,Engenharia Aeronáutica,2020,"Pretos, Pardos e Indígenas (PPI)",,60,53,35.83,510.93,28.5,4,,
48,EESC,Engenharia Aeronáutica,2020,"Pretos, Pardos e Indígenas (PPI)",,55,80,40,603.7,43,3,,
48,EESC,Engenharia Aeronáutica,2020,Escola Pública (EP),,64,56,60,623.7,30,13,,
48,EESC,Engenharia Aeronáutica,2020,Escola Pública (EP),,63,60,61.67,638.89,38,11,,
48,EESC,Engenharia Aeronáutica,2020,Escola Pública (EP),,68,71,45.83,641.3,40,10,,
48,EESC,Engenharia Aeronáutica,2020,Ampla Concorrência (AC),,70,51.5,63.33,642.04,22,56,,
48,EESC,Engenharia Aeronáutica,2020,Ampla Concorrência (AC),,75,60.5,49.17,643.33,34.5,54,,
48,EESC,Engenharia Aeronáutica,2020,Ampla Concorrência (AC),,71,54,63.33,654.07,31.5,53,,
48,EESC,Engenharia Aeronáutica,2020,Escola Pública (EP),,68,52,69.17,655.74,30,8,,
48,EESC,Engenharia Aeronáutica,2020,Escola Pública (EP),,63,57,70.83,659.44,36,7,,
48,EESC,Engenharia Aeronáutica,2020,Escola Pública (EP),,62,63.5,70.83,677.41,33,5,,
48,EESC,Engenharia Aeronáutica,2020,Ampla Concorrência (AC),,71,59,65.83,679.07,32,43,,
48,EESC,Engenharia Aeronáutica,2020,Escola Pública (EP),,79,55,63,685.92,25,3,,
48,EESC,Engenharia Aeronáutica,2020,Ampla Concorrência (AC),,74,74,50.83,690.2,43,39,,
48,EESC,Engenharia Aeronáutica,2020,Escola Pública (EP),,70,60.5,70.83,697.04,33,2,,
48,EESC,Engenharia Aeronáutica,2020,Escola Pública (EP),,65,62.5,75.83,701.85,36,1,,
48,EESC,Engenharia Aeronáutica,2020,Ampla Concorrência (AC),,78,63.5,66.67,722.78,31.5,22,,
48,EESC,Engenharia Aeronáutica,2020,Ampla Concorrência (AC),,83,67.5,57.5,724.07,40,21,,
48,EESC,Engenharia Aeronáutica,2020,Ampla Concorrência (AC),,71,59.5,80,727.96,33,20,,
48,EESC,Engenharia Aeronáutica,2020,Ampla Concorrência (AC),,81,63,65.83,729.44,36,19,,
48,EESC,Engenharia Aeronáutica,2020,Ampla Concorrência (AC),,78,67,67.5,737.22,35,18,,
48,EESC,Engenharia Aeronáutica,2020,Ampla Concorrência (AC),,81,62.33,70,741.11,36.33,17,,
48,EESC,Engenharia Aeronáutica,2020,Ampla Concorrência (AC),,73,63.5,79.17,745.93,36,16,,
48,EESC,Engenharia Aeronáutica,2020,Ampla Concorrência (AC),,77,72,67.5,750.19,40,14,,
48,EESC,Engenharia Aeronáutica,2020,Ampla Concorrência (AC),,79,62.5,76.67,756.48,33.5,12,,
48,EESC,Engenharia Aeronáutica,2020,Ampla Concorrência (AC),,73,60.5,90.83,774.81,38,9,,
48,EESC,Engenharia Aeronáutica,2020,Ampla Concorrência (AC),,80,69.5,74.17,775.19,40,8,,
48,EESC,Engenharia Aeronáutica,2020,Ampla Concorrência (AC),,73,79.5,74.17,782.59,44.5,5,,
48,EESC,Engenharia Aeronáutica,2020,Ampla Concorrência (AC),,78,65,85,788.89,41,4,,
48,EESC,Engenharia Aeronáutica,2020,Ampla Concorrência (AC),,74,61,95.83,796.85,33.5,2,,
43,EESC,Engenharia Civil,2020,"Pretos, Pardos e Indígenas (PPI)",,43,41.5,12.5,339.26,,11,,
43,EESC,Engenharia Civil,2020,"Pretos, Pardos e Indígenas (PPI)",,44,43.5,20,374.63,,6,,
43,EESC,Engenharia Civil,2020,"Pretos, Pardos e Indígenas (PPI)",,51,45,21.67,411.11,,5,,
43,EESC,Engenharia Civil,2020,Escola Pública (EP),,53,49,18.33,420.74,,17,,
43,EESC,Engenharia Civil,2020,Escola Pública (EP),,51,58.5,13.33,428.33,,16,,
43,EESC,Engenharia Civil,2020,Escola Pública (EP),,51,46.5,30,443.89,,13,,
43,EESC,Engenharia Civil,2020,Escola Pública (EP),,45,63.5,25,461.67,,11,,
43,EESC,Engenharia Civil,2020,Escola Pública (EP),,58,46,28.33,462.59,,10,,
43,EESC,Engenharia Civil,2020,Escola Pública (EP),,53,46,34.17,463.52,,8,,
43,EESC,Engenharia Civil,2020,Escola Pública (EP),,50,41,42.5,463.52,,9,,
43,EESC,Engenharia Civil,2020,"Pretos, Pardos e Indígenas (PPI)",,55,58.67,21,469.26,,2,,
43,EESC,Engenharia Civil,2020,Escola Pública (EP),,66,41.5,36.67,505,,6,,
43,EESC,Engenharia Civil,2020,"Pretos, Pardos e Indígenas (PPI)",,61,51.5,43.33,542.04,,1,,
43,EESC,Engenharia Civil,2020,Escola Pública (EP),,68,47,41.67,547.41,,4,,
43,EESC,Engenharia Civil,2020,Escola Pública (EP),,61,57,42.5,557.59,,3,,
43,EESC,Engenharia Civil,2020,Ampla Concorrência (AC),,64,48,50.83,566.48,,34,,
43,EESC,Engenharia Civil,2020,Ampla Concorrência (AC),,68,67.5,30,576.85,,31,,
43,EESC,Engenharia Civil,2020,Ampla Concorrência (AC),,66,62,39.17,581.67,,29,,
