id,unidade,curso,ano,modalidade,chamada,nota_1,nota_2_1,nota_2_2,nota_final,nota_redacao,classificacao_carreira,classificacao_curso,redacao
4,EACH,Bacharelado em Biotecnologia,2022,Ampla Concorrência (AC),Primeira,69,54.5,53.33,615.0,34.5,,24.0,
4,EACH,Bacharelado em Biotecnologia,2022,Ampla Concorrência (AC),Primeira,68,41.0,61.67,594.07,28.0,,28.0,
6,EACH,Curso de Graduação em Obstetrícia,2022,Escola Pública (EP),Primeira,51,56.5,34.17,491.11,29.5,,8.0,
13,EACH,Gestão de Políticas Públicas,2022,Ampla Concorrência (AC),Primeira,54,43.0,45.0,493.33,30.0,,46.0,
14,EACH,Marketing,2022,Ampla Concorrência (AC),Primeira,77,52.5,55.0,643.52,31.5,,1.0,
16,ECA,Artes Cênicas - Bach. e Lic.,2022,Ampla Concorrência (AC),Primeira,61,59.0,38.33,730.22,33.0,,4.0,
17,ECA,Artes Visuais - Bach. e Lic.,2022,"Pretos, Pardos e Indígenas (PPI)",Primeira,58,56.0,64.17,689.22,35.0,,1.0,
17,ECA,Artes Visuais - Bach. e Lic.,2022,Ampla Concorrência (AC),Primeira,68,61.17,63.33,717.71,39.67,,7.0,
22,ECA,Bach. Com. Social: Publicidade e Propaganda,2022,Escola Pública (EP),Primeira,65,47.0,56.67,586.3,28.0,,4.0,
22,ECA,Bach. Com. Social: Publicidade e Propaganda,2022,Ampla Concorrência (AC),Primeira,71,71.5,54.17,681.85,42.0,,3.0,
23,ECA,Bach. Com. Social: Publicidade e Propaganda,2022,Ampla Concorrência (AC),Primeira,62,71.0,55.83,652.41,42.0,,6.0,
24,ECA,Bach. Com. Social: Editoração,2022,Ampla Concorrência (AC),Primeira,62,69.0,70.0,692.96,34.5,,2.0,
28,ECA,Bacharelado em Relações Públicas,2022,Ampla Concorrência (AC),Primeira,66,58.5,51.67,611.67,30.0,,7.0,
29,ECA,Curso Superior do Audiovisual,2022,Ampla Concorrência (AC),Primeira,71,65.5,57.5,672.96,36.5,,13.0,
29,ECA,Curso Superior do Audiovisual,2022,Ampla Concorrência (AC),Primeira,70,69.5,55.83,677.04,35.0,,12.0,
29,ECA,Curso Superior do Audiovisual,2022,Ampla Concorrência (AC),Primeira,69,68.0,73.33,726.67,36.5,,5.0,
29,ECA,Curso Superior do Audiovisual,2022,Escola Pública (EP),Primeira,69,60.5,56.67,646.11,33.5,,2.0,
33,EE,Enfermagem - Bach. e Lic.,2022,Ampla Concorrência (AC),Primeira,61,54.0,63.33,617.04,34.5,,19.0,
33,EE,Enfermagem - Bach. e Lic.,2022,"Pretos, Pardos e Indígenas (PPI)",Primeira,52,46.5,65.83,567.04,28.5,,1.0,
34,EERP,Enfermagem – Bacharelado,2022,Escola Pública (EP),Primeira,52,48.0,41.67,491.48,35.0,,12.0,
45,EESC,Engenharia Elétrica (Ênfase em Sistemas de Energia e Automação),2022,Escola Pública (EP),Primeira,55,60.0,45.0,553.7,28.5,,20.0,
47,EESC,Engenharia de Produção,2022,Ampla Concorrência (AC),Primeira,80,55.5,54.17,661.85,35.0,,46.0,
48,EESC,Engenharia Aeronáutica,2022,Escola Pública (EP),Primeira,68,51.5,58.33,617.96,31.0,,5.0,
53,EP,Engenharia Ambiental,2022,Escola Pública (EP),Primeira,61,62.0,32.5,540.93,33.0,,166.0,
54,EP,Engenharia Civil,2022,Ampla Concorrência (AC),Primeira,76,65.33,79.17,763.15,33.33,,180.0,
54,EP,Engenharia Civil,2022,"Pretos, Pardos e Indígenas (PPI)",Primeira,57,66.0,20.83,500.56,40.0,,23.0,
54,EP,Engenharia Civil,2022,Escola Pública (EP),Primeira,55,56.5,35.0,508.7,31.5,,218.0,
55,EP,Engenharia de Computação,2022,Escola Pública (EP),Primeira,74,44.0,71.67,659.63,28.5,,42.0,
55,EP,Engenharia de Computação,2022,Ampla Concorrência (AC),Primeira,83,82.0,95.0,897.41,43.0,,1.0,
55,EP,Engenharia de Computação,2022,Ampla Concorrência (AC),Primeira,74,71.5,84.17,792.96,36.0,,85.0,
56,EP,Engenharia de Materiais; Engenharia Metalúrgica; Engenharia Nuclear ,2022,Ampla Concorrência (AC),Primeira,73,60.17,90.0,770.93,37.67,,155.0,
56,EP,Engenharia de Materiais; Engenharia Metalúrgica; Engenharia Nuclear ,2022,Ampla Concorrência (AC),Primeira,69,59.67,80.0,721.11,37.67,,420.0,
58,EP,Engenharia de Petróleo,2022,Ampla Concorrência (AC),Primeira,70,60.0,77.5,717.59,33.0,,448.0,
58,EP,Engenharia de Petróleo,2022,Ampla Concorrência (AC),Primeira,65,72.0,67.5,705.74,36.5,,527.0,
59,EP,Engenharia de Produção,2022,Escola Pública (EP),Primeira,61,49.5,41.67,529.81,34.5,,178.0,
59,EP,Engenharia de Produção,2022,Ampla Concorrência (AC),Primeira,78,69.0,77.5,777.22,43.0,,127.0,
59,EP,Engenharia de Produção,2022,Ampla Concorrência (AC),Primeira,77,70.0,84.17,799.07,35.0,,67.0,
59,EP,Engenharia de Produção,2022,Ampla Concorrência (AC),Primeira,77,68.0,80.83,781.3,39.5,,112.0,
60,EP,"Engenharia Elétrica (Ênfases: Automação e Controle, Energia e Automação Elétricas, Eletrônica e Sistemas Computacionais, Telecomunicações)",2022,Ampla Concorrência (AC),Primeira,74,59.5,85.83,758.52,31.0,,138.0,
60,EP,"Engenharia Elétrica (Ênfases: Automação e Controle, Energia e Automação Elétricas, Eletrônica e Sistemas Computacionais, Telecomunicações)",2022,Ampla Concorrência (AC),Primeira,76,60.5,86.67,772.04,37.0,,149.0,
60,EP,"Engenharia Elétrica (Ênfases: Automação e Controle, Energia e Automação Elétricas, Eletrônica e Sistemas Computacionais, Telecomunicações)",2022,Escola Pública (EP),Primeira,70,51.0,35.0,545.93,29.5,,157.0,
60,EP,"Engenharia Elétrica (Ênfases: Automação e Controle, Energia e Automação Elétricas, Eletrônica e Sistemas Computacionais, Telecomunicações)",2022,Ampla Concorrência (AC),Primeira,74,60.5,87.5,767.41,37.0,,161.0,
60,EP,"Engenharia Elétrica (Ênfases: Automação e Controle, Energia e Automação Elétricas, Eletrônica e Sistemas Computacionais, Telecomunicações)",2022,Escola Pública (EP),Primeira,58,63.0,38.33,552.59,35.0,,145.0,
61,EP,Engenharia Mecânica,2022,Ampla Concorrência (AC),Primeira,72,74.5,78.33,776.11,40.0,,132.0,
62,EP,Engenharia Mecatrônica,2022,Ampla Concorrência (AC),Primeira,77,66.0,93.33,816.3,41.0,,36.0,
63,EP,Engenharia Naval,2022,Ampla Concorrência (AC),Primeira,71,62.5,71.67,710.19,39.0,,494.0,
64,EP,Engenharia Química (quadrimestral),2022,Ampla Concorrência (AC),Primeira,77,75.5,93.33,847.96,38.0,,13.0,
64,EP,Engenharia Química (quadrimestral),2022,Ampla Concorrência (AC),Primeira,81,59.0,90.83,799.44,30.0,,66.0,
69,ESALQ,Ciências Econômicas - Bacharelado,2022,"Pretos, Pardos e Indígenas (PPI)",Primeira,49,38.0,37.5,433.15,30.0,,2.0,
72,FAU,Arquitetura e Urbanismo,2022,Ampla Concorrência (AC),Primeira,80,81.5,75.0,817.96,45.0,,1.0,
72,FAU,Arquitetura e Urbanismo,2022,Ampla Concorrência (AC),Primeira,64,70.5,76.67,727.59,38.0,,25.0,
72,FAU,Arquitetura e Urbanismo,2022,Escola Pública (EP),Primeira,60,60.5,57.5,615.56,38.0,,15.0,
72,FAU,Arquitetura e Urbanismo,2022,Ampla Concorrência (AC),Primeira,68,63.5,72.5,705.19,33.0,,45.0,
72,FAU,Arquitetura e Urbanismo,2022,Ampla Concorrência (AC),Primeira,75,59.0,77.5,732.78,41.0,,22.0,
72,FAU,Arquitetura e Urbanismo,2022,Ampla Concorrência (AC),Primeira,74,59.5,72.5,714.07,28.0,,39.0,
73,FAU,Design,2022,Ampla Concorrência (AC),Primeira,67,71.5,62.5,694.81,41.0,,5.0,
73,FAU,Design,2022,Ampla Concorrência (AC),Primeira,71,52.5,68.33,665.74,31.5,,9.0,
74,FCF,Farmácia,2022,Ampla Concorrência (AC),Primeira,77,71.0,82.5,796.85,34.5,,1.0,
74,FCF,Farmácia,2022,Escola Pública (EP),Primeira,67,62.83,70.83,693.7,34.33,,3.0,
74,FCF,Farmácia,2022,Ampla Concorrência (AC),Primeira,63,65.0,65.0,666.67,34.5,,41.0,
75,FCF,Farmácia,2022,Ampla Concorrência (AC),Primeira,71,55.0,80.83,715.74,28.0,,17.0,
75,FCF,Farmácia,2022,Escola Pública (EP),Primeira,61,49.0,48.33,550.37,24.5,,24.0,
76,FCFRP,Farmácia,2022,"Pretos, Pardos e Indígenas (PPI)",Primeira,38,55.5,30.0,425.74,36.0,,3.0,
77,FD,Direito,2022,Ampla Concorrência (AC),Primeira,71,64.0,61.67,681.85,33.0,,141.0,
