ano,nota,c1,c2,c3,c4,c5,drive_id,url
2020,980,180,200,200,200,200,1cwqtAmVzEmV0IzBcvAr9QezH7MjUgHcF,https://drive.google.com/file/d/1cwqtAmVzEmV0IzBcvAr9QezH7MjUgHcF/view
2020,840,140,180,160,180,180,1m526zzzAR0KcYI2Y2o5bCCHXAiysV9F8,https://drive.google.com/file/d/1m526zzzAR0KcYI2Y2o5bCCHXAiysV9F8/view
2020,820,160,180,160,160,160,1ZVALeAnYxOqqnAe2Vt2JlUpOfCjIQkOp,https://drive.google.com/file/d/1ZVALeAnYxOqqnAe2Vt2JlUpOfCjIQkOp/view
2021,980,180,200,200,200,200,1TiLakiML9k0x7LGpQh69yqFYEPYDBEpS,https://drive.google.com/file/d/1TiLakiML9k0x7LGpQh69yqFYEPYDBEpS/view
2021,920,160,200,160,200,200,114wpRG2vpPXsi-_oWu3T7iamcCHlledF,https://drive.google.com/file/d/114wpRG2vpPXsi-_oWu3T7iamcCHlledF/view
2021,940,160,200,180,200,200,1YdOys0aBm9ZJvTwBXVkMR2Dt7Tx_fhGg,https://drive.google.com/file/d/1YdOys0aBm9ZJvTwBXVkMR2Dt7Tx_fhGg/view
2021,920,160,200,180,180,200,1S1oSJ2SWuVatCSnwrCvMPbWtjD8_PQBc,https://drive.google.com/file/d/1S1oSJ2SWuVatCSnwrCvMPbWtjD8_PQBc/view
2021,940,180,180,180,200,200,1wqdGAjSxxQgfdhkTLaYQMeNBtTAne3CV,https://drive.google.com/file/d/1wqdGAjSxxQgfdhkTLaYQMeNBtTAne3CV/view
2021,940,160,200,180,200,200,1U9HdVZr11EtPXX0Y1Z8cVsSPKLV24_W_,https://drive.google.com/file/d/1U9HdVZr11EtPXX0Y1Z8cVsSPKLV24_W_/view
2021,940,160,200,180,200,200,19acd7zWYTzFQME3otPJheoPu01He4Ocn,https://drive.google.com/file/d/19acd7zWYTzFQME3otPJheoPu01He4Ocn/view
2020,660,140,120,160,120,120,1rZWD5yrcsR35tK3bzpZY-sCgjP074VoB,https://drive.google.com/file/d/1rZWD5yrcsR35tK3bzpZY-sCgjP074VoB/view
2021,960,160,200,200,200,200,1hokIHwjrd4cIfhchfARGYg0o0K2mDgea,https://drive.google.com/file/d/1hokIHwjrd4cIfhchfARGYg0o0K2mDgea/view
2021,940,160,200,200,180,200,1Ltxa6YhHde1S1vNlo4FSIkU0PQSRzHd7,https://drive.google.com/file/d/1Ltxa6YhHde1S1vNlo4FSIkU0PQSRzHd7/view
