unidade,area,curso,fuvest_ac,fuvest_ep,fuvest_ppi,fuvest,enem_ac,enem_ep_l1,enem_ep_l3,enem_ep,enem_ppi_l2,enem_ppi_l4,enem_ppi,enem
EACH,E,Bacharelado em Sistemas de Informação,28,10,4,42,2,0,8,8,0,8,8,18
EACH,E,Bacharelado em Sistemas de Informação,56,21,7,84,4,0,16,16,0,16,16,36
EACH,E,Licenciatura em Ciências da Natureza,30,9,3,42,0,0,9,9,0,9,9,18
EACH,B,Bacharelado em Educação Física e Saúde,20,14,8,42,10,4,0,4,4,0,4,18
EACH,B,Bacharelado em Biotecnologia,30,11,1,42,0,0,7,7,0,11,11,18
EACH,B,Curso de Graduação em Gerontologia,24,12,6,42,6,0,6,6,0,6,6,18
EACH,B,Curso de Graduação em Obstetrícia,30,12,0,42,0,3,3,6,3,9,12,18
EACH,H,Bacharelado em Têxtil e Moda,24,12,6,42,6,3,3,6,3,3,6,18
EACH,H,Bacharelado em Lazer e Turismo,30,9,3,42,0,9,0,9,9,0,9,18
EACH,H,Bacharelado em Lazer e Turismo,30,9,3,42,0,9,0,9,9,0,9,18
EACH,H,Bacharelado em Gestão Ambiental,27,11,4,42,3,0,7,7,0,8,8,18
EACH,H,Bacharelado em Gestão Ambiental,27,11,4,42,3,0,7,7,0,8,8,18
EACH,H,Gestão de Políticas Públicas,24,12,6,42,6,3,3,6,3,3,6,18
EACH,H,Gestão de Políticas Públicas,24,12,6,42,6,3,3,6,3,3,6,18
EACH,H,Marketing,21,13,8,42,9,0,5,5,0,4,4,18
EACH,H,Marketing,21,13,8,42,9,0,5,5,0,4,4,18
EACH,,Subtotal Unidad./formse,446,191,77,714,64,34,82,116,34,92,126,306
ECA,H,Artes Cênicas - Bach. e Lic.,15,9,6,30,0,0,0,0,0,0,0,0
ECA,H,Artes Visuais - Bach. e Lic.,15,9,6,30,0,0,0,0,0,0,0,0
ECA,H,Música - Bach. e Lic.,25,15,10,50,0,0,0,0,0,0,0,0
ECA,H,Biblioteconomia,8,4,2,14,2,1,1,2,1,1,2,6
ECA,H,Biblioteconomia,8,4,2,14,2,1,1,2,1,1,2,6
ECA,H,Turismo,13,6,2,21,2,3,0,3,4,0,4,9
ECA,H,Bach. Com. Social: Publicidade e Propaganda,8,4,2,14,2,0,2,2,0,2,2,6
ECA,H,Bach. Com. Social: Publicidade e Propaganda,12,6,3,21,3,0,3,3,0,3,3,9
ECA,H,Bach. Com. Social: Editoração,7,3,0,10,0,2,0,2,0,3,3,5
ECA,H,Bacharelado em Jornalismo,15,6,0,21,0,3,0,3,0,6,6,9
ECA,H,Bacharelado em Jornalismo,15,6,0,21,0,3,0,3,0,6,6,9
ECA,H,Bacharelado em Relações Públicas,8,4,2,14,2,0,2,2,0,2,2,6
ECA,H,Bacharelado em Relações Públicas,12,6,3,21,3,0,3,3,0,3,3,9
ECA,H,Curso Superior do Audiovisual,17,6,1,24,0,1,4,5,1,5,6,11
ECA,H,Licenciatura em Educomunicação,13,5,3,21,2,0,4,4,0,3,3,9
ECA,,Subtotal Unidade,191,93,42,326,18,14,20,34,7,35,42,94
EEFE,B,Educação Física e Esporte – Educação Física (Bach. e Lic.) e Esporte (Bach.),50,20,10,80,0,0,11,11,0,9,9,20
EEFE,,Subtotal Unidade,50,20,10,80,0,0,11,11,0,9,9,20
EEFERP,B,Educação Física,27,8,7,42,3,0,10,10,0,5,5,18
EEFERP,,Subtotal Unidade,27,8,7,42,3,0,10,10,0,5,5,18
EE,B,Enfermagem - Bach. e Lic.,27,19,10,56,13,0,6,6,0,5,5,24
EE,,Subtotal Unidade,27,19,10,56,13,0,6,6,0,5,5,24
EERP,B,Enfermagem – Bacharelado,40,15,7,62,0,0,10,10,2,6,8,18
EERP,B,Enfermagem – Bach. e Lic.,25,9,5,39,0,0,6,6,1,4,5,11
EEL,E,Engenharia de Materiais,18,7,5,30,2,4,1,5,2,1,3,10
EEL,E,Engenharia Bioquímica,18,8,4,30,2,3,1,4,3,1,4,10
EEL,E,Engenharia Química,32,17,11,60,8,4,4,8,2,2,4,20
EEL,E,Engenharia Química,32,17,11,60,8,4,4,8,2,2,4,20
EEL,E,Engenharia Ambiental,19,9,6,34,1,2,1,3,1,1,2,6
EEL,E,Engenharia de Produção,18,6,6,30,2,3,3,6,1,1,2,10
EEL,E,Engenharia Física,18,7,5,30,2,4,1,5,2,1,3,10
EEL,,Subtotal Unidade,155,71,48,274,25,24,15,39,13,9,22,86
