id,unidade,curso,ano,modalidade,chamada,nota_1,nota_2_1,nota_2_2,nota_final,nota_redacao,classificacao_carreira,classificacao_curso,redacao
4,EACH,Biotecnologia,2020,Escola Pública (EP),,51.0,51.88,31.25,465.9888889,30.0,32.0,,
4,EACH,Biotecnologia,2020,Escola Pública (EP),,52.0,68.0,34.0,532.5925926,43.0,7.0,,
4,EACH,Biotecnologia,2020,Escola Pública (EP),,60.0,55.0,41.67,544.4555556,31.5,5.0,,
4,EACH,Biotecnologia,2020,Ampla Concorrência (AC),,57.0,59.5,49.17,573.3444444,32.0,27.0,,
4,EACH,Biotecnologia,2020,Ampla Concorrência (AC),,64.0,68.0,41.67,602.6037037,36.0,20.0,,
4,EACH,Biotecnologia,2020,Ampla Concorrência (AC),,65.0,68.0,44.17,614.6407407,36.0,17.0,,
4,EACH,Biotecnologia,2020,Ampla Concorrência (AC),,60.0,62.5,68.33,658.3222222,36.0,11.0,,
4,EACH,Biotecnologia,2020,Ampla Concorrência (AC),,72.0,61.5,64.17,685.5666667,36.5,8.0,,
4,EACH,Biotecnologia,2020,Ampla Concorrência (AC),,78.0,56.5,77.5,735.5555556,33.0,1.0,,
11,EACH,Gestão Ambiental,2019,Ampla Concorrência (AC),,35.0,55.5,19.17,378.5296296,35.0,51.0,,
11,EACH,Gestão Ambiental,2020,Escola Pública (EP),,58.0,62.0,55.83,607.5814815,31.5,1.0,,
12,EACH,Gestão de Políticas Públicas,2015,Escola Pública (EP),,48.0,55.0,16.0,414.4444444,25.0,60.0,,
12,EACH,Gestão de Políticas Públicas,2019,Ampla Concorrência (AC),,42.0,63.5,20.0,433.8888889,38.0,42.0,,
12,EACH,Gestão de Políticas Públicas,2019,Ampla Concorrência (AC),,41.0,59.5,28.33,444.6185185,33.0,65.0,,
12,EACH,Gestão de Políticas Públicas,2020,Ampla Concorrência (AC),,54.0,59.0,25.0,480.0,38.0,53.0,,
12,EACH,Gestão de Políticas Públicas,2020,Escola Pública (EP),,50.0,58.5,30.0,480.1851852,31.0,3.0,,
12,EACH,Gestão de Políticas Públicas,2020,Ampla Concorrência (AC),,42.0,68.5,36.67,506.1222222,41.0,39.0,,
12,EACH,Gestão de Políticas Públicas,2020,Ampla Concorrência (AC),,53.0,68.0,41.67,561.862963,36.5,12.0,,
12,EACH,Gestão de Políticas Públicas,2020,Ampla Concorrência (AC),,77.0,64.5,55.83,686.2851852,40.0,1.0,,
0,EACH,Sistemas de Informação,2020,Escola Pública (EP),,50.0,55.0,16.67,424.0851852,29.5,143.0,,
0,EACH,Sistemas de Informação,2020,Escola Pública (EP),,51.0,50.0,30.83,458.3222222,29.5,98.0,,
0,EACH,Sistemas de Informação,2020,Escola Pública (EP),,55.0,61.0,25.83,493.137037,33.0,63.0,,
0,EACH,Sistemas de Informação,2019,Escola Pública (EP),,49.0,57.5,40.0,506.4814815,30.0,53.0,,
0,EACH,Sistemas de Informação,2020,Escola Pública (EP),,63.0,51.0,43.0,546.6666667,28.0,41.0,,
0,EACH,Sistemas de Informação,2020,Ampla Concorrência (AC),,62.0,55.5,48.33,575.7296296,31.0,138.0,,
0,EACH,Sistemas de Informação,2020,Ampla Concorrência (AC),,60.0,74.5,35.0,587.2222222,40.0,122.0,,
0,EACH,Sistemas de Informação,2020,Ampla Concorrência (AC),,61.0,67.5,54.17,631.4925926,41.5,57.0,,
0,EACH,Sistemas de Informação,2020,Ampla Concorrência (AC),,59.0,52.0,75.83,644.6185185,31.5,48.0,,
7,EACH,Têxtil e Moda,2019,Escola Pública (EP),,44.0,57.0,29.17,450.1962963,31.5,3.0,,
16,ECA,Artes Cênicas,2020,Ampla Concorrência (AC),,51.0,75.0,65.0,655.5555556,40.0,15.0,,
17,ECA,Artes Visuais,2020,"Pretos, Pardos e Indígenas (PPI)",,45.0,43.0,32.5,418.3333333,28.0,4.0,,
17,ECA,Artes Visuais,2019,Ampla Concorrência (AC),,51.0,57.0,39.0,508.8888889,28.5,7.0,,
29,ECA,Audiovisual,2019,Escola Pública (EP),,53.0,86.5,48.33,645.7296296,48.0,3.0,,
29,ECA,Audiovisual,2017,Ampla Concorrência (AC),,57.0,62.75,68.75,649.4444444,31.5,27.0,,
29,ECA,Audiovisual,2020,Ampla Concorrência (AC),,69.0,71.5,63.33,704.9888889,40.0,8.0,,
24,ECA,Com. Social: Editoração,2020,Escola Pública (EP),,42.0,54.0,28.33,429.9888889,30.0,3.0,,
24,ECA,Com. Social: Editoração,2020,"Pretos, Pardos e Indígenas (PPI)",,49.0,57.17,40.83,508.1481481,37.67,1.0,,
24,ECA,Com. Social: Editoração,2020,Ampla Concorrência (AC),,54.0,65.5,55.0,601.6666667,38.0,3.0,,
22,ECA,Com. Social: Publicidade e Propaganda,2019,Ampla Concorrência (AC),,47.0,68.0,48.0,560.7407407,36.0,33.0,,
22,ECA,Com. Social: Publicidade e Propaganda,2019,Escola Pública (EP),,52.0,66.0,52.5,587.5925926,33.5,2.0,,
22,ECA,Com. Social: Publicidade e Propaganda,2020,Ampla Concorrência (AC),,64.0,61.5,45.0,592.037037,38.0,17.0,,
22,ECA,Com. Social: Publicidade e Propaganda,2019,Ampla Concorrência (AC),,58.0,71.0,42.5,593.1481481,37.0,14.0,,
22,ECA,Com. Social: Publicidade e Propaganda,2019,Ampla Concorrência (AC),,57.0,67.5,49.17,600.0111111,37.0,12.0,,
30,ECA,Educomunicação,2020,Ampla Concorrência (AC),,50.0,70.0,49.0,581.8518519,45.0,2.0,,
27,ECA,Relações Públicas,2020,Escola Pública (EP),,44.0,58.5,33.33,469.062963,30.0,5.0,,
27,ECA,Relações Públicas,2020,Ampla Concorrência (AC),,61.0,55.5,35.0,527.5925926,29.5,18.0,,
21,ECA,Turismo,2020,Ampla Concorrência (AC),,50.0,49.0,57.5,540.1851852,27.0,3.0,,
40,EEL,Engenharia Ambiental,2019,Ampla Concorrência (AC),,51.0,50.0,60.0,555.5555556,38.0,13.0,,
