ano,nota,c1,c2,c3,c4,c5,drive_id,url
2018,920,180.0,180.0,200.0,180.0,180.0,1_i2icBmoym3I6tVwZiiBngcKrA6LbaZO,https://drive.google.com/file/d/1_i2icBmoym3I6tVwZiiBngcKrA6LbaZO/view
2021,760,160.0,120.0,140.0,160.0,180.0,1QOdWS15kBgfka8HrXcjiXdHoUOV9Keu1,https://drive.google.com/file/d/1QOdWS15kBgfka8HrXcjiXdHoUOV9Keu1/view?usp=sharing
2021,920,140.0,200.0,200.0,200.0,180.0,1__sggpQa_zAn_iacA9_YhhY4KZ7JtnTL,https://drive.google.com/file/d/1__sggpQa_zAn_iacA9_YhhY4KZ7JtnTL/view?usp=sharing
2021,980,180.0,200.0,200.0,200.0,200.0,17FC_gqSN42JAGxEGPZkbw_y3GfOgKFNm,https://drive.google.com/file/d/17FC_gqSN42JAGxEGPZkbw_y3GfOgKFNm/view?usp=sharing
2020,920,160.0,200.0,160.0,200.0,200.0,1CA5BuMVUlOGedcrzcyfSHRhuU2ksJCOk,https://drive.google.com/file/d/1CA5BuMVUlOGedcrzcyfSHRhuU2ksJCOk/view
2020,960,180.0,200.0,180.0,200.0,200.0,1ozFxlkdFl0nkXdklVV7I75uLX0G_R_qx,https://drive.google.com/file/d/1ozFxlkdFl0nkXdklVV7I75uLX0G_R_qx/view
2020,900,180.0,180.0,200.0,180.0,160.0,1nxDup_a1LX1Tm61isRt8eVBNaNCDfMiR,https://drive.google.com/file/d/1nxDup_a1LX1Tm61isRt8eVBNaNCDfMiR/view
2020,960,180.0,200.0,180.0,200.0,200.0,1Y65pUXqvHbMKadsZCNdNWTO2YXeDrdpx,https://drive.google.com/file/d/1Y65pUXqvHbMKadsZCNdNWTO2YXeDrdpx/view
2020,860,160.0,200.0,160.0,180.0,160.0,1E7PcM9kXvfiJ_EEZBLE5_ovssz-6KEZ8,https://drive.google.com/file/d/1E7PcM9kXvfiJ_EEZBLE5_ovssz-6KEZ8/view
2020,900,160.0,200.0,160.0,200.0,160.0,1ZqEVtuIE5KCSaHtPAXR5jgnbwbhQO0qm,https://drive.google.com/file/d/1ZqEVtuIE5KCSaHtPAXR5jgnbwbhQO0qm/view
2020,920,160.0,200.0,200.0,200.0,160.0,1zZ3b5xIvyz47HEKozjkyKWCmOOg6NW7B,https://drive.google.com/file/d/1zZ3b5xIvyz47HEKozjkyKWCmOOg6NW7B/view
2020,940,160.0,200.0,180.0,200.0,200.0,1KPotKhNp7jbW8T_HmdGeqNtpnBQJWCnZ,https://drive.google.com/file/d/1KPotKhNp7jbW8T_HmdGeqNtpnBQJWCnZ/view
2020,940,180.0,200.0,200.0,200.0,160.0,1u-2ZFo57RT-3Gqkm7eX-hLwi8YHiMEdr,https://drive.google.com/file/d/1u-2ZFo57RT-3Gqkm7eX-hLwi8YHiMEdr/view
2020,960,180.0,200.0,200.0,180.0,200.0,1lOw6-mysMl9F3e7wc_T1s1hj67bD3YeQ,https://drive.google.com/file/d/1lOw6-mysMl9F3e7wc_T1s1hj67bD3YeQ/view
2020,900,180.0,200.0,180.0,200.0,140.0,1OsLZ5UFl3yywpqOCDbzRxq7PpNUO26Bl,https://drive.google.com/file/d/1OsLZ5UFl3yywpqOCDbzRxq7PpNUO26Bl/view
2020,940,160.0,200.0,200.0,200.0,180.0,1hSUOmBLESFjY27sjtwnY0LHlQihiptZr,https://drive.google.com/file/d/1hSUOmBLESFjY27sjtwnY0LHlQihiptZr/view
2020,960,180.0,200.0,180.0,200.0,200.0,1W-3RUW--SpzROf0oGXtGC2zIOXp3QGM_,https://drive.google.com/file/d/1W-3RUW--SpzROf0oGXtGC2zIOXp3QGM_/view
2020,960,180.0,200.0,180.0,200.0,200.0,1F3s3MFVNS-CHPNTaxx-Fb1AoPo1XBYdO,https://drive.google.com/file/d/1F3s3MFVNS-CHPNTaxx-Fb1AoPo1XBYdO/view
2020,920,160.0,200.0,180.0,180.0,200.0,1udEZvpFcY5nvJuTXDE-kapbvXVTEMg5d,https://drive.google.com/file/d/1udEZvpFcY5nvJuTXDE-kapbvXVTEMg5d/view
2020,960,160.0,200.0,200.0,200.0,200.0,1khrxquRViiE82SRtH3MG66WpSThe1GMH,https://drive.google.com/file/d/1khrxquRViiE82SRtH3MG66WpSThe1GMH/view
2020,920,160.0,160.0,200.0,200.0,160.0,1drjb5sa13OyjnWYFMmAahEIRt5toC7Gl,https://drive.google.com/file/d/1drjb5sa13OyjnWYFMmAahEIRt5toC7Gl/view
2020,900,160.0,200.0,160.0,200.0,180.0,18bV7Hjp2nuHRabtGxD448jxG8HxYsY5i,https://drive.google.com/file/d/18bV7Hjp2nuHRabtGxD448jxG8HxYsY5i/view
2020,880,160.0,180.0,160.0,200.0,180.0,1EnqannVQr4Jr55BjTGPl420hyAnJiT28,https://drive.google.com/file/d/1EnqannVQr4Jr55BjTGPl420hyAnJiT28/view
2020,960,160.0,200.0,200.0,200.0,200.0,1695rX1DU6njLFHYhaU9Q1x55Zy4fm-PG,https://drive.google.com/file/d/1695rX1DU6njLFHYhaU9Q1x55Zy4fm-PG/view
2020,860,160.0,180.0,160.0,180.0,180.0,19hj3rw7T_P3UQ1Dv9eztaZdhP-2n9ccc,https://drive.google.com/file/d/19hj3rw7T_P3UQ1Dv9eztaZdhP-2n9ccc/view
2020,900,160.0,200.0,180.0,160.0,200.0,1fMvwbHcnMYoBvbnmcCs3exAS2tkhpFRV,https://drive.google.com/file/d/1fMvwbHcnMYoBvbnmcCs3exAS2tkhpFRV/view
2020,920,160.0,200.0,200.0,180.0,180.0,1QAZ2hmSZS7cxEMIWxJda7tpuJddUWST9,https://drive.google.com/file/d/1QAZ2hmSZS7cxEMIWxJda7tpuJddUWST9/view
2020,940,180.0,200.0,200.0,180.0,180.0,1dBD_sURnW8quaMWJ1SYCXJ-bHbdjKSIQ,https://drive.google.com/file/d/1dBD_sURnW8quaMWJ1SYCXJ-bHbdjKSIQ/view
2020,960,160.0,200.0,200.0,200.0,200.0,1JmZBNPGhLnucc7WRu81vdPdcHxx5Jwe8,https://drive.google.com/file/d/1JmZBNPGhLnucc7WRu81vdPdcHxx5Jwe8/view
2020,900,160.0,200.0,200.0,160.0,180.0,19NJl8kcUc6HEGfpTec9QWr3vwdJmurcv,https://drive.google.com/file/d/19NJl8kcUc6HEGfpTec9QWr3vwdJmurcv/view
2020,880,160.0,200.0,160.0,200.0,160.0,1NzpQScERaeTPhclNIa7lUmTIgpHXF2XC,https://drive.google.com/file/d/1NzpQScERaeTPhclNIa7lUmTIgpHXF2XC/view
2020,800,160.0,160.0,160.0,160.0,160.0,1VGNd3gCsZwKRckYSYU2i6y1ZntCARo6O,https://drive.google.com/file/d/1VGNd3gCsZwKRckYSYU2i6y1ZntCARo6O/view
2020,900,160.0,160.0,180.0,200.0,200.0,1jyKdt5FyBA1vJtSdyr9GoZM-CWy-Kcqk,https://drive.google.com/file/d/1jyKdt5FyBA1vJtSdyr9GoZM-CWy-Kcqk/view
2020,920,200.0,200.0,180.0,140.0,200.0,13ZaqGkZc8_CXor3Mf6FqeL6d6Enz0SVL,https://drive.google.com/file/d/13ZaqGkZc8_CXor3Mf6FqeL6d6Enz0SVL/view
2020,800,160.0,180.0,140.0,160.0,160.0,1tiMySLq2qyp4AcyO6v9_ZOPaIR8GOSBY,https://drive.google.com/file/d/1tiMySLq2qyp4AcyO6v9_ZOPaIR8GOSBY/view
2018,920,,,,,,1AyoH4ZogqtuI64BSZ6HCaRqRE2iePT_V,https://drive.google.com/file/d/1AyoH4ZogqtuI64BSZ6HCaRqRE2iePT_V/view
2016,820,160.0,160.0,160.0,180.0,160.0,1z8-2IDtPjCJx6PFc0_y0iMQczx5N33dN,https://drive.google.com/file/d/1z8-2IDtPjCJx6PFc0_y0iMQczx5N33dN/view
2018,940,180.0,200.0,180.0,180.0,200.0,1TUqOsxw6tigBab-UlxT1BanTA-54saq_,https://drive.google.com/file/d/1TUqOsxw6tigBab-UlxT1BanTA-54saq_/view
2018,960,180.0,200.0,180.0,200.0,200.0,1oV7r3jxg7-KqX7wAF5YyD_hL24v01Rzu,https://drive.google.com/file/d/1oV7r3jxg7-KqX7wAF5YyD_hL24v01Rzu/view
2018,980,180.0,200.0,200.0,200.0,200.0,1XOuEHypoouzLPy13SGpymM8lKNZ7UTtg,https://drive.google.com/file/d/1XOuEHypoouzLPy13SGpymM8lKNZ7UTtg/view
2019,900,,,,,,1GUdTBNyZTIyAgmiOTpcE6xKTq1GK-raM,https://drive.google.com/file/d/1GUdTBNyZTIyAgmiOTpcE6xKTq1GK-raM/view
2019,920,,,,,,1u4VbtzWHjquOpwf4o9_58Qwg3MOxGTEy,https://drive.google.com/file/d/1u4VbtzWHjquOpwf4o9_58Qwg3MOxGTEy/view
2019,900,,,,,,1ZxKUmN1AfPhZiaBPQDJ8cQMP8CXp8lBT,https://drive.google.com/file/d/1ZxKUmN1AfPhZiaBPQDJ8cQMP8CXp8lBT/view
2019,900,180.0,200.0,160.0,200.0,160.0,13Zcdz01WOZ_uLZSxNmXP3XHB01S_Qmwc,https://drive.google.com/file/d/13Zcdz01WOZ_uLZSxNmXP3XHB01S_Qmwc/view
2019,960,200.0,200.0,160.0,200.0,200.0,1Da1bcLcGar0Ev0A6V_v7kn1awDTG2YhP,https://drive.google.com/file/d/1Da1bcLcGar0Ev0A6V_v7kn1awDTG2YhP/view
